l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801120.SI,食品饮料,801125.SI,白酒Ⅱ,851251.SI,白酒Ⅲ,000568.SZ,泸州老窖,19940509,,Y,0.00714,-0.01384,0.16426
801120.SI,食品饮料,801125.SI,白酒Ⅱ,851251.SI,白酒Ⅲ,600809.SH,山西汾酒,19940106,,Y,0.09431,0.04848,0.18738
801120.SI,食品饮料,801125.SI,白酒Ⅱ,851251.SI,白酒Ⅲ,600702.SH,舍得酒业,19960524,,Y,0.05106,0.02261,0.30336
801120.SI,食品饮料,801125.SI,白酒Ⅱ,851251.SI,白酒Ⅲ,600779.SH,水井坊,19961206,,Y,0.15507,0.08041,0.35036
801120.SI,食品饮料,801125.SI,白酒Ⅱ,851251.SI,白酒Ⅲ,000596.SZ,古井贡酒,19960927,,Y,0.01509,-0.00239,0.10726
801120.SI,食品饮料,801125.SI,白酒Ⅱ,851251.SI,白酒Ⅲ,000799.SZ,酒鬼酒,19970718,,Y,-0.01618,-0.0477,0.30876
801120.SI,食品饮料,801125.SI,白酒Ⅱ,851251.SI,白酒Ⅲ,000858.SZ,五粮液,19980427,,Y,0.02875,0.03467,0.2127
801120.SI,食品饮料,801125.SI,白酒Ⅱ,851251.SI,白酒Ⅲ,000860.SZ,顺鑫农业,19981104,,Y,0.03289,0.01127,0.1024
801120.SI,食品饮料,801125.SI,白酒Ⅱ,851251.SI,白酒Ⅲ,600199.SH,金种子酒,19980812,,Y,0.02612,0.02836,0.18425
801120.SI,食品饮料,801125.SI,白酒Ⅱ,851251.SI,白酒Ⅲ,600197.SH,伊力特,19990916,,Y,0.02211,0.02749,0.08927
801120.SI,食品饮料,801125.SI,白酒Ⅱ,851251.SI,白酒Ⅲ,600519.SH,贵州茅台,20010731,,Y,0.00605,-0.01138,0.11842
801120.SI,食品饮料,801125.SI,白酒Ⅱ,851251.SI,白酒Ⅲ,600559.SH,老白干酒,20021029,,Y,0.03256,0.03697,0.2611
801120.SI,食品饮料,801125.SI,白酒Ⅱ,851251.SI,白酒Ⅲ,002304.SZ,洋河股份,20090122,,Y,-0.00657,-0.02534,0.07406
801120.SI,食品饮料,801125.SI,白酒Ⅱ,851251.SI,白酒Ⅲ,603919.SH,金徽酒,20160304,,Y,0.07802,0.07802,0.21076
801120.SI,食品饮料,801125.SI,白酒Ⅱ,851251.SI,白酒Ⅲ,603369.SH,今世缘,20140120,,Y,-0.06287,-0.07376,0.0577
801120.SI,食品饮料,801125.SI,白酒Ⅱ,851251.SI,白酒Ⅲ,603589.SH,口子窖,20150119,,Y,-0.05168,-0.06243,0.0848
801120.SI,食品饮料,801125.SI,白酒Ⅱ,851251.SI,白酒Ⅲ,603198.SH,迎驾贡酒,20150126,,Y,-0.06489,-0.04382,0.21027
