l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂,002176.SZ,江特电机,20220729,,Y,0.06068,-0.00356,0.16528
801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂,000762.SZ,西藏矿业,19970708,,Y,0.06961,0.06363,0.38212
801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂,002756.SZ,永兴材料,20220729,,Y,0.06905,0.05509,0.28123
801050.SI,有色金属,801056.SI,能源金属,850561.SI,钴,301219.SZ,腾远钴业,20220304,,Y,0.0221,0.02451,0.40457
801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂,002240.SZ,盛新锂能,20080505,,Y,0.02335,0.02815,0.24211
801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂,002192.SZ,融捷股份,20220401,,Y,0.03466,-0.00569,0.18797
801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂,002497.SZ,雅化集团,20220729,,Y,0.07556,0.0448,0.27739
801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂,000408.SZ,藏格矿业,20230704,,Y,0.07717,0.17176,0.38564
801050.SI,有色金属,801056.SI,能源金属,850561.SI,钴,603799.SH,华友钴业,20210730,,Y,0.1026,0.13125,0.51337
801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂,002466.SZ,天齐锂业,20100812,,Y,0.02937,0.04944,0.32395
801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂,002460.SZ,赣锋锂业,20100728,,Y,0.08808,0.05684,0.33593
801050.SI,有色金属,801056.SI,能源金属,850562.SI,镍,605376.SH,博迁新材,20230704,,Y,0.12423,0.21387,0.37942
801050.SI,有色金属,801056.SI,能源金属,850561.SI,钴,300618.SZ,寒锐钴业,20210730,,Y,0.11813,0.16619,0.70222
