l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,300048.SZ,合康新能,20100105,,Y,0.05214,0.1144,0.26966
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,300124.SZ,汇川技术,20100908,,Y,0.07744,-0.06115,0.35261
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,603025.SH,大豪科技,20150413,,Y,0.10317,0.06397,0.26543
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,603583.SH,捷昌驱动,20180831,,Y,0.0807,0.10529,0.27689
801890.SI,机械设备,801078.SI,自动化设备,850781.SI,机器人,688017.SH,绿的谐波,20200814,,Y,0.30676,0.22325,0.57359
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,688698.SH,伟创电气,20201214,,Y,0.15523,0.07593,0.5445
801890.SI,机械设备,801078.SI,自动化设备,850784.SI,其他自动化设备,301029.SZ,怡合达,20210705,,Y,0.02132,0.02132,0.40683
801890.SI,机械设备,801078.SI,自动化设备,850781.SI,机器人,002979.SZ,雷赛智能,20200325,,Y,0.15428,0.14264,0.5141
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,688777.SH,中控技术,20201124,,Y,0.021,-0.05615,0.35049
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,300083.SZ,创世纪,20110110,,Y,0.04047,0.03776,0.50094
801890.SI,机械设备,801078.SI,自动化设备,850783.SI,激光设备,300747.SZ,锐科激光,20210730,,Y,0.23928,0.22437,0.4613
801890.SI,机械设备,801078.SI,自动化设备,850781.SI,机器人,688090.SH,瑞松科技,20210730,,Y,0.11878,0.04823,0.72387
801890.SI,机械设备,801078.SI,自动化设备,850784.SI,其他自动化设备,688003.SH,天准科技,20210730,,Y,-0.07146,0.03367,0.22412
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,603203.SH,快克智能,20210730,,Y,0.09262,0.1363,0.27798
801890.SI,机械设备,801078.SI,自动化设备,850784.SI,其他自动化设备,688686.SH,奥普特,20210730,,Y,0.11367,0.03291,0.22263
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,603283.SH,赛腾股份,20210730,,Y,-0.03243,0.05092,0.20135
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,002957.SZ,科瑞技术,20210730,,Y,0.15812,0.19334,0.37105
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,300278.SZ,华昌达,20210730,,Y,0.4058,0.50388,1.07857
801890.SI,机械设备,801078.SI,自动化设备,850783.SI,激光设备,000988.SZ,华工科技,20210730,,Y,0.116,0.10441,0.41191
801890.SI,机械设备,801078.SI,自动化设备,850784.SI,其他自动化设备,688097.SH,博众精工,20210730,,Y,-0.00941,0.06448,0.27964
801890.SI,机械设备,801078.SI,自动化设备,850783.SI,激光设备,688518.SH,联赢激光,20210730,,Y,0.06466,0.09192,0.2219
801890.SI,机械设备,801078.SI,自动化设备,850781.SI,机器人,300024.SZ,机器人,20210730,,Y,0.35307,0.39922,0.87825
801890.SI,机械设备,801078.SI,自动化设备,850783.SI,激光设备,688559.SH,海目星,20210730,,Y,0.02281,0.0915,0.20375
801890.SI,机械设备,801078.SI,自动化设备,850781.SI,机器人,688165.SH,埃夫特-U,20210730,,Y,0.15416,0.09108,0.50132
801890.SI,机械设备,801078.SI,自动化设备,850781.SI,机器人,002747.SZ,埃斯顿,20210730,,Y,0.14551,0.1357,0.34373
801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备,301510.SZ,固高科技,20230731,,Y,0.04643,-0.09265,0.12297
801890.SI,机械设备,801078.SI,自动化设备,850781.SI,机器人,603416.SH,信捷电气,20161212,,Y,0.03832,0.03106,0.19025
801890.SI,机械设备,801078.SI,自动化设备,850783.SI,激光设备,002008.SZ,大族激光,20210730,,Y,0.06798,0.03165,0.28473
801890.SI,机械设备,801078.SI,自动化设备,850784.SI,其他自动化设备,300757.SZ,罗博特科,20210730,,Y,-0.00054,0.34978,1.58058
801890.SI,机械设备,801078.SI,自动化设备,850781.SI,机器人,002698.SZ,博实股份,20210730,,Y,0.0661,0.03129,0.27075
801890.SI,机械设备,801078.SI,自动化设备,850784.SI,其他自动化设备,603960.SH,克来机电,20210730,,Y,0.24283,0.23776,0.22711
