l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801170.SI,交通运输,801991.SI,航空机场,851741.SI,航空运输,600221.SH,海航控股,20210730,,Y,0.57265,0.54622,0.64286
801170.SI,交通运输,801991.SI,航空机场,851751.SI,机场,600897.SH,厦门空港,19960531,,Y,0.02954,0.0383,0.11331
801170.SI,交通运输,801991.SI,航空机场,851741.SI,航空运输,601021.SH,春秋航空,20210730,,Y,0.03689,-0.01952,0.02733
801170.SI,交通运输,801991.SI,航空机场,851741.SI,航空运输,600115.SH,中国东航,20210730,,Y,0.05914,0.05067,-0.03667
801170.SI,交通运输,801991.SI,航空机场,851741.SI,航空运输,600029.SH,南方航空,20210730,,Y,0.03306,0.06293,0.04866
801170.SI,交通运输,801991.SI,航空机场,851741.SI,航空运输,000099.SZ,中信海直,20210730,,Y,0.30622,0.49017,0.39286
801170.SI,交通运输,801991.SI,航空机场,851741.SI,航空运输,002928.SZ,华夏航空,20210730,,Y,0.04704,0.2106,0.34574
801170.SI,交通运输,801991.SI,航空机场,851741.SI,航空运输,603885.SH,吉祥航空,20210730,,Y,0.02983,0.01705,0.1016
801170.SI,交通运输,801991.SI,航空机场,851751.SI,机场,600009.SH,上海机场,19980218,,Y,0.00393,0.00704,0.03265
801170.SI,交通运输,801991.SI,航空机场,851751.SI,机场,000089.SZ,深圳机场,20210729,,Y,0.05293,0.06052,0.11178
801170.SI,交通运输,801991.SI,航空机场,851751.SI,机场,600004.SH,白云机场,20030428,,Y,0.02282,0.00203,0.03571
801170.SI,交通运输,801991.SI,航空机场,851741.SI,航空运输,601111.SH,中国国航,20210730,,Y,0.07475,0.06128,0.03252
