l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,000582.SZ,北部湾港,19951102,,Y,0.00374,0.03205,0.04545
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,600179.SH,安通控股,20211203,,Y,0.21371,0.22857,0.34978
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,600017.SH,日照港,20061017,,Y,0.06312,0.07023,0.12676
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,002320.SZ,海峡股份,20090202,,Y,0.11151,0.16384,0.19305
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,601919.SH,中远海控,20070626,,Y,0.03779,0.06289,0.24333
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,601000.SH,唐山港,20100107,,Y,-0.08368,-0.06009,-0.14951
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,601975.SH,招商南油,20190104,,Y,0.03343,0.07595,0.07937
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,600717.SH,天津港,19960614,,Y,0.01035,0.0339,0.04946
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,600018.SH,上港集团,20000719,,Y,-0.03816,-0.01786,-0.0082
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,601866.SH,中远海发,20071211,,Y,0.0873,0.11837,0.14167
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,601326.SH,秦港股份,20170712,,Y,-0.0226,-0.01143,0.01765
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,603565.SH,中谷物流,20200821,,Y,0.02667,0.04439,-0.01051
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,601872.SH,招商轮船,20061130,,Y,-0.03399,-0.04079,-0.06831
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,601298.SH,青岛港,20190104,,Y,0.02604,0.04082,-0.02694
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,001872.SZ,招商港口,19930505,,Y,-0.04585,-0.05979,0.01578
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,601880.SH,辽港股份,20100125,,Y,0.13699,0.16901,0.31746
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,600026.SH,中远海能,20020523,,Y,-0.0157,-0.09172,-0.08223
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,000088.SZ,盐田港,20211112,,Y,0.03901,0.03689,0.1024
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,600279.SH,重庆港,20000731,,Y,0.00686,0.1,0.19891
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,601228.SH,广州港,20170310,,Y,0.03835,0.03226,0.10692
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,600428.SH,中远海特,20020418,,Y,0.16937,0.25039,0.42039
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,601018.SH,宁波港,20100106,,Y,0.03815,0.05249,0.06723
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,600751.SH,海航科技,20240730,,Y,0.272,0.272,0.48598
