l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,000977.SZ,浪潮信息,20000608,,Y,0.0821,0.09838,0.37896
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,000997.SZ,新大陆,20000801,,Y,0.21947,0.21731,0.60981
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,000066.SZ,中国长城,19970626,,Y,0.44703,0.64384,1.0438
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,600100.SH,同方股份,19970627,,Y,0.10298,0.26594,0.66462
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,002152.SZ,广电运通,20070810,,Y,0.00249,-0.00576,0.28754
801750.SI,计算机,801101.SI,计算机设备,850702.SI,安防设备,002236.SZ,大华股份,20080520,,Y,0.03906,0.03224,0.23765
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,002268.SZ,电科网安,20080722,,Y,0.00756,0.03035,0.44617
801750.SI,计算机,801101.SI,计算机设备,850702.SI,安防设备,002415.SZ,海康威视,20100512,,Y,0.01683,-0.00254,0.1413
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,300130.SZ,新国都,20101008,,Y,-0.10635,-0.01063,0.79655
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,001309.SZ,德明利,20220624,,Y,-0.02366,-0.10374,0.17605
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,300302.SZ,同有科技,20120313,,Y,-0.03831,0.12468,0.69638
801750.SI,计算机,801101.SI,计算机设备,850702.SI,安防设备,688475.SH,萤石网络,20221209,,Y,-0.05933,-0.06983,0.19048
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,300531.SZ,优博讯,20160804,,Y,-0.04952,-0.12183,0.65421
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,603019.SH,中科曙光,20140124,,Y,0.31711,0.28204,0.77111
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,603496.SH,恒为科技,20170522,,Y,0.04994,0.06692,0.35789
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,603106.SH,恒银科技,20170907,,Y,0.07716,0.03411,1.40045
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,688188.SH,柏楚电子,20190724,,Y,0.01449,-0.13858,0.46949
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,688208.SH,道通科技,20200122,,Y,-0.01107,-0.17183,0.35177
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,603516.SH,淳中科技,20180129,,Y,-0.13275,0.01632,0.11188
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,002970.SZ,锐明技术,20191129,,Y,-0.01757,0.26536,0.53877
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,600855.SH,航天长峰,19940328,,Y,0.00559,0.15293,0.14455
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,300455.SZ,航天智装,20170629,,Y,-0.00663,0.06463,0.22869
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,002180.SZ,纳思达,20230317,,Y,0.04563,-0.05256,0.17769
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,300324.SZ,旋极信息,20210730,,Y,-0.00748,0.25157,0.87736
801750.SI,计算机,801101.SI,计算机设备,850702.SI,安防设备,603508.SH,思维列控,20210730,,Y,0.21688,0.2027,0.36561
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,300042.SZ,朗科科技,20091221,,Y,-0.02696,-0.08839,0.37893
801750.SI,计算机,801101.SI,计算机设备,850702.SI,安防设备,605118.SH,力鼎光电,20210730,,Y,0.04648,0.06472,0.29425
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,300847.SZ,中船汉光,20240730,,Y,-0.00253,0.15755,0.42578
