l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,000839.SZ,中信国安,20220729,,Y,0.31227,0.31716,0.47083
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,002093.SZ,国脉科技,20061214,,Y,-0.06082,0.1294,0.37736
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,002123.SZ,梦网科技,20070328,,Y,0.11554,0.09696,0.87291
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,002467.SZ,二六三,20100818,,Y,0.03722,0.05556,0.29814
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,002544.SZ,普天科技,20110119,,Y,-0.06511,0.03608,0.31711
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,300310.SZ,宜通世纪,20120416,,Y,-0.14286,-0.05656,1.35593
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,300292.SZ,吴通控股,20120221,,Y,0.1831,0.30667,0.89068
801770.SI,通信,801223.SI,通信服务,852212.SI,电信运营商,600941.SH,中国移动,20211217,,Y,-0.01437,-0.03536,-0.00184
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,603322.SH,超讯通信,20160718,,Y,-0.00413,0.21526,0.36129
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,002929.SZ,润建股份,20180212,,Y,-0.02404,-0.03594,0.12509
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,603220.SH,中贝通信,20181030,,Y,0.04296,0.08781,0.27722
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,300053.SZ,航宇微,20220729,,Y,0.02781,0.25926,0.48472
801770.SI,通信,801223.SI,通信服务,852212.SI,电信运营商,600050.SH,中国联通,20021008,,Y,0.0198,0.01378,0.12445
801770.SI,通信,801223.SI,通信服务,852212.SI,电信运营商,601728.SH,中国电信,20210813,,Y,-0.0258,0.01582,0.10499
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,300383.SZ,光环新网,20230704,,Y,0.01777,0.02642,0.37547
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,300442.SZ,润泽科技,20230704,,Y,-0.01756,-0.02106,0.61576
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,300738.SZ,奥飞数据,20230704,,Y,0.0119,0.0906,0.39759
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,603881.SH,数据港,20230704,,Y,0.03951,0.04661,0.3472
