l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801770.SI,通信,801102.SI,通信设备,851027.SI,其他通信设备,600776.SH,东方通信,19961126,,Y,0.06449,0.1055,0.35851
801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套,600105.SH,永鼎股份,19970929,,Y,0.07709,0.16977,0.46647
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,000063.SZ,中兴通讯,19971118,,Y,0.01304,-0.03027,0.20325
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,600198.SH,大唐电信,20220729,,Y,0.29328,0.41899,1.5502
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,600498.SH,烽火通信,20010726,,Y,0.10023,0.12274,0.31395
801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套,600522.SH,中天科技,20021024,,Y,-0.00856,0.07995,0.1521
801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套,600487.SH,亨通光电,20030821,,Y,0.0246,0.05851,0.20769
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,002194.SZ,武汉凡谷,20071206,,Y,0.04011,0.1957,0.56434
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,002281.SZ,光迅科技,20090803,,Y,0.22568,0.37575,0.54807
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,002396.SZ,星网锐捷,20100412,,Y,0.10494,0.08027,0.42857
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,300134.SZ,大富科技,20101012,,Y,-0.06523,0.07578,1.38088
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,002583.SZ,海能达,20110518,,Y,0.40201,1.7658,4.75258
801770.SI,通信,801102.SI,通信设备,851027.SI,其他通信设备,300183.SZ,东软载波,20110110,,Y,-0.014,-0.00236,0.61568
801770.SI,通信,801102.SI,通信设备,851027.SI,其他通信设备,300353.SZ,东土科技,20120911,,Y,0.09967,0.13356,0.85694
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,300548.SZ,博创科技,20161012,,Y,0.0264,0.12681,0.44232
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,300570.SZ,太辰光,20161201,,Y,0.26568,1.0288,1.63344
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,002017.SZ,东信和平,20050901,,Y,0.01596,0.05561,0.40155
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,300628.SZ,亿联网络,20170310,,Y,0.01291,-0.06036,0.25266
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,300620.SZ,光库科技,20170224,,Y,-0.00676,0.18311,0.64261
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,300590.SZ,移为通信,20170105,,Y,0.00477,-0.01469,0.39245
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,300638.SZ,广和通,20170330,,Y,0.14719,0.19947,0.54291
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,603083.SH,剑桥科技,20171108,,Y,0.29826,0.36853,0.6986
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,603236.SH,移远通信,20190702,,Y,0.0,0.09379,0.25398
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,688313.SH,仕佳光子,20200727,,Y,0.0527,0.33734,0.79493
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,003031.SZ,中瓷电子,20201223,,Y,-0.01557,0.07795,0.29988
801770.SI,通信,801102.SI,通信设备,851027.SI,其他通信设备,300711.SZ,广哈通信,20171030,,Y,-0.02047,0.05511,0.35173
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,300698.SZ,万马科技,20170815,,Y,0.06285,0.08281,0.55289
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,688387.SH,信科移动-U,20220909,,Y,0.02205,-0.00613,0.31377
801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套,601869.SH,长飞光纤,20180706,,Y,0.04605,0.06355,0.29796
801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套,300913.SZ,兆龙互连,20201125,,Y,-0.03822,-0.01841,0.26254
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,003040.SZ,楚天龙,20210305,,Y,-0.00242,0.00407,0.18408
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,688027.SH,国盾量子,20200618,,Y,0.24043,0.31803,0.76596
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,002897.SZ,意华股份,20170828,,Y,0.12253,0.24158,0.39256
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,300627.SZ,华测导航,20211203,,Y,0.06168,0.05563,0.38434
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,300308.SZ,中际旭创,20180713,,Y,-0.0504,-0.10883,0.34662
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,300394.SZ,天孚通信,20180713,,Y,0.13327,0.22501,0.60165
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,300502.SZ,新易盛,20180713,,Y,-0.01375,-0.10128,0.56094
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,688100.SH,威胜信息,20200525,,Y,-0.02798,-0.10986,0.0798
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,600775.SH,南京熊猫,20010430,,Y,0.10106,0.19515,0.35117
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,600734.SH,实达集团,20170629,,Y,0.01511,0.03067,0.20863
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,301205.SZ,联特科技,20220902,,Y,0.01903,0.02138,0.53442
801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套,300563.SZ,神宇股份,20161107,,Y,-0.08326,0.07418,0.57476
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,688668.SH,鼎通科技,20201207,,Y,-0.04478,0.04,0.1954
