l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC10,PC20,PC60
801730.SI,电力设备,801736.SI,风电设备,857361.SI,风电整机,688349.SH,三一重能,20220602,,Y,0.00965,0.03302,0.24846
801730.SI,电力设备,801736.SI,风电设备,857361.SI,风电整机,002202.SZ,金风科技,20071225,,Y,0.0036,0.07411,0.47619
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,002531.SZ,天顺风能,20101222,,Y,-0.00417,0.11292,0.21013
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,300129.SZ,泰胜风能,20101008,,Y,-0.09649,0.04968,0.23169
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,300185.SZ,通裕重工,20110225,,Y,-0.01929,0.26556,0.64865
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,300443.SZ,金雷股份,20150113,,Y,0.02905,0.33998,0.66413
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,603063.SH,禾望电气,20170712,,Y,0.41575,0.44774,0.457
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,300569.SZ,天能重工,20161125,,Y,-0.04745,0.04231,0.29665
801730.SI,电力设备,801736.SI,风电设备,857361.SI,风电整机,601615.SH,明阳智能,20190104,,Y,0.02734,0.15996,0.29707
801730.SI,电力设备,801736.SI,风电设备,857361.SI,风电整机,300772.SZ,运达股份,20190415,,Y,0.09808,0.23428,0.33302
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,300850.SZ,新强联,20200629,,Y,0.07531,0.20594,0.42163
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,603218.SH,日月股份,20161212,,Y,-0.05308,0.12436,0.32663
801730.SI,电力设备,801736.SI,风电设备,857361.SI,风电整机,688660.SH,电气风电,20210510,,Y,0.90602,1.10372,1.61056
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,600458.SH,时代新材,20210730,,Y,0.08872,0.29615,0.3792
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,603985.SH,恒润股份,20220729,,Y,0.14589,0.14783,0.27694
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,301155.SZ,海力风电,20211105,,Y,0.051,0.37636,0.77613
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,002487.SZ,大金重工,20210730,,Y,0.01747,0.10148,0.15084
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,600072.SH,中船科技,20240730,,Y,0.03722,0.06076,0.14005
