l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801890.SI,机械设备,801074.SI,专用设备,850728.SI,楼宇设备,600835.SH,上海机电,19930806,,Y,0.44289,0.35434,0.28694
801890.SI,机械设备,801074.SI,专用设备,850721.SI,纺织服装设备,600843.SH,上工申贝,19940311,,Y,0.70516,1.17128,1.27768
801890.SI,机械设备,801074.SI,专用设备,850728.SI,楼宇设备,600894.SH,广日股份,19960328,,Y,0.18333,0.1998,0.81504
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,600320.SH,振华重工,20001221,,Y,0.0599,0.12431,0.19355
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,000852.SZ,石化机械,19981126,,Y,0.07621,-0.06913,-0.14728
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,600169.SH,太原重工,19980904,,Y,0.19372,0.06542,-0.02146
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,600501.SH,航天晨光,20010615,,Y,0.10488,0.6545,0.52028
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,600499.SH,科达制造,20021010,,Y,0.16266,-0.1246,-0.26212
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,002009.SZ,天奇股份,20040624,,Y,0.08065,-0.05,-0.00934
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,002073.SZ,软控股份,20061018,,Y,0.20061,-0.09404,0.15666
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,601106.SH,中国一重,20100125,,Y,0.2887,0.14074,0.0301
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,601369.SH,陕鼓动力,20240730,,Y,0.11478,-0.02199,0.13119
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,002204.SZ,大连重工,20080116,,Y,0.16029,0.02972,0.0636
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,002353.SZ,杰瑞股份,20100118,,Y,0.09671,0.08997,0.11302
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,002430.SZ,杭氧股份,20100525,,Y,0.20291,-0.16768,-0.23372
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,601608.SH,中信重工,20120626,,Y,0.13624,-0.05656,0.15193
801890.SI,机械设备,801074.SI,专用设备,850721.SI,纺织服装设备,300307.SZ,慈星股份,20120320,,Y,0.62239,0.50794,0.26479
801890.SI,机械设备,801074.SI,专用设备,850723.SI,农用机械,601038.SH,一拖股份,20120727,,Y,0.10905,-0.10366,0.38679
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,300293.SZ,蓝英装备,20120228,,Y,0.85456,1.22059,0.65934
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,002690.SZ,美亚光电,20120720,,Y,0.0291,-0.06547,-0.18916
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,300415.SZ,伊之密,20150115,,Y,0.37652,0.18044,0.41814
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,002837.SZ,英维克,20161219,,Y,0.51168,0.22726,0.5779
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,300382.SZ,斯莱克,20140122,,Y,1.10841,0.61605,0.11243
801890.SI,机械设备,801074.SI,专用设备,850726.SI,印刷包装机械,002611.SZ,东方精工,20180713,,Y,0.11092,-0.0156,0.31458
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,002779.SZ,中坚科技,20170629,,Y,0.54163,0.48252,1.41529
