l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,000050.SZ,深天马A,19950315,,Y,0.20975,0.02503,-0.15567
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,600707.SH,彩虹股份,19960520,,Y,0.21824,-0.03979,0.23841
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,000536.SZ,华映科技,19931126,,Y,1.0,0.54286,-0.15436
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,000725.SZ,京东方A,20010112,,Y,0.16845,0.00691,0.11765
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,000727.SZ,冠捷科技,19970520,,Y,0.24352,-0.01639,-0.28994
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,002106.SZ,莱宝高科,20070112,,Y,0.20162,0.11866,0.08021
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,300088.SZ,长信科技,20100125,,Y,0.57981,0.36235,0.04829
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,002456.SZ,欧菲光,20110110,,Y,0.71001,0.43402,0.24057
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,600703.SH,三安光电,20110110,,Y,0.15225,0.14335,-0.15429
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,002273.SZ,水晶光电,20080919,,Y,0.1049,0.4003,0.61499
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,300120.SZ,经纬辉开,20100910,,Y,1.69159,1.89738,0.95122
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,300128.SZ,锦富技术,20100120,,Y,0.97785,0.69837,0.30208
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,300232.SZ,洲明科技,20111010,,Y,0.43443,0.27273,-0.0604
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,300219.SZ,鸿利智汇,20111010,,Y,0.45351,0.26821,-0.06699
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,300102.SZ,乾照光电,20110110,,Y,0.58284,1.02131,0.84958
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,300296.SZ,利亚德,20120105,,Y,0.24113,0.08471,-0.19231
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,300303.SZ,聚飞光电,20120109,,Y,0.73961,0.61585,0.46409
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,002654.SZ,万润科技,20170629,,Y,0.44397,0.30851,-0.11337
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,600666.SH,奥瑞德,20151102,,Y,0.69697,0.47368,0.11443
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,002745.SZ,木林森,20150115,,Y,0.12663,0.07606,-0.02815
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,300708.SZ,聚灿光电,20170925,,Y,0.38176,0.3558,0.15537
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,600651.SH,飞乐音响,20170629,,Y,0.26056,0.19732,0.02874
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,002387.SZ,维信诺,20190724,,Y,0.51199,0.2213,-0.17937
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,000100.SZ,TCL科技,20190422,,Y,0.18883,-0.07645,0.12594
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,688127.SH,蓝特光学,20200904,,Y,0.35362,0.21047,0.25067
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,688055.SH,龙腾光电,20200731,,Y,0.38947,0.16471,-0.11011
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,600552.SH,凯盛科技,20180713,,Y,0.34783,0.13242,0.07546
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,603297.SH,永新光学,20180831,,Y,0.34877,0.06031,-0.05663
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,688538.SH,和辉光电-U,20210512,,Y,0.17476,0.11521,-0.08679
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,002992.SZ,宝明科技,20220729,,Y,0.23181,0.21803,-0.14753
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,605218.SH,伟时电子,20200914,,Y,0.48896,0.29174,0.57543
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,688322.SH,奥比中光-UW,20220707,,Y,0.37387,0.19864,0.10398
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,002036.SZ,联创电子,20210730,,Y,0.42879,0.29091,-0.13007
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,600071.SH,凤凰光学,20210730,,Y,0.73298,0.53418,0.43135
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,002222.SZ,福晶科技,20210730,,Y,0.25907,0.1448,0.14527
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,300489.SZ,光智科技,20240603,,Y,4.2977,5.09235,4.34141
