l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857331.SI,综合电力设备商,600875.SH,东方电气,19951010,,Y,-0.00064,-0.06205,0.04919
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,002518.SZ,科士达,20101124,,Y,0.15926,-0.01712,-0.24841
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857331.SI,综合电力设备商,601727.SH,上海电气,20081111,,Y,0.68602,0.41685,0.36831
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,002335.SZ,科华数据,20091224,,Y,0.52241,0.07054,-0.04773
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,300693.SZ,盛弘股份,20170807,,Y,0.33333,-0.08595,-0.04574
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,002851.SZ,麦格米特,20170224,,Y,0.98299,1.18082,0.61642
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,300820.SZ,英杰电气,20200204,,Y,0.24778,0.03331,-0.03548
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,300870.SZ,欧陆通,20200807,,Y,0.51837,0.19631,0.16963
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857331.SI,综合电力设备商,600475.SH,华光环能,20210730,,Y,0.08459,-0.08772,-0.02703
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,600482.SH,中国动力,20220729,,Y,0.04294,0.09024,0.31327
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857334.SI,火电设备,002534.SZ,西子洁能,20210730,,Y,0.20907,0.23216,-0.02621
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,002366.SZ,融发核电,20210730,,Y,0.39601,0.12644,-0.08922
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,300593.SZ,新雷能,20161226,,Y,0.38462,0.56522,-0.20946
