l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801010.SI,农林牧渔,801017.SI,养殖业,850172.SI,生猪养殖,000735.SZ,罗牛山,19970611,,Y,0.15187,0.26681,0.041
801010.SI,农林牧渔,801017.SI,养殖业,850172.SI,生猪养殖,000876.SZ,新希望,19980311,,Y,0.0,0.04757,-0.07714
801010.SI,农林牧渔,801017.SI,养殖业,850172.SI,生猪养殖,600975.SH,新五丰,20040608,,Y,0.00315,-0.27366,-0.3
801010.SI,农林牧渔,801017.SI,养殖业,850172.SI,生猪养殖,002157.SZ,正邦科技,20070816,,Y,0.06093,0.06859,0.08029
801010.SI,农林牧渔,801017.SI,养殖业,850173.SI,肉鸡养殖,002299.SZ,圣农发展,20090922,,Y,0.02816,-0.09329,-0.26376
801010.SI,农林牧渔,801017.SI,养殖业,850173.SI,肉鸡养殖,002458.SZ,益生股份,20100729,,Y,0.03061,-0.04617,-0.12174
801010.SI,农林牧渔,801017.SI,养殖业,850172.SI,生猪养殖,002714.SZ,牧原股份,20140122,,Y,-0.01486,-0.03015,0.2083
801010.SI,农林牧渔,801017.SI,养殖业,850172.SI,生猪养殖,300498.SZ,温氏股份,20151102,,Y,-0.05764,-0.01622,0.08295
801010.SI,农林牧渔,801017.SI,养殖业,850173.SI,肉鸡养殖,300761.SZ,立华股份,20190218,,Y,-0.00725,0.03205,0.40836
801010.SI,农林牧渔,801017.SI,养殖业,850172.SI,生猪养殖,603477.SH,巨星农牧,20220121,,Y,-0.07486,-0.43175,-0.33027
