l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,000566.SZ,海南海药,19940525,,Y,0.59365,0.43429,0.07265
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,000513.SZ,丽珠集团,19931028,,Y,0.00617,-0.00186,0.07787
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,000963.SZ,华东医药,20000127,,Y,0.18614,0.07712,-0.1621
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,600062.SH,华润双鹤,19970522,,Y,0.25053,0.13739,0.37979
801150.SI,医药生物,801151.SI,化学制药,851511.SI,原料药,000756.SZ,新华制药,19970806,,Y,0.04651,0.05127,-0.32556
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,600079.SH,人福医药,19970606,,Y,0.06315,0.04257,-0.03923
801150.SI,医药生物,801151.SI,化学制药,851511.SI,原料药,000739.SZ,普洛药业,19970422,,Y,0.06598,0.23261,-0.12988
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,600196.SH,复星医药,19980807,,Y,0.09916,0.13607,-0.085
801150.SI,医药生物,801151.SI,化学制药,851511.SI,原料药,600216.SH,浙江医药,19991021,,Y,-0.00854,0.72979,0.46092
801150.SI,医药生物,801151.SI,化学制药,851511.SI,原料药,002001.SZ,新和成,20040618,,Y,0.0146,0.27958,0.43044
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,002038.SZ,双鹭药业,20240730,,Y,0.05048,-0.06212,-0.46267
801150.SI,医药生物,801151.SI,化学制药,851511.SI,原料药,002099.SZ,海翔药业,20061226,,Y,0.10772,0.04047,-0.37677
801150.SI,医药生物,801151.SI,化学制药,851511.SI,原料药,688166.SH,博瑞医药,20220729,,Y,0.25924,0.10814,-0.19522
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,600276.SH,恒瑞医药,20080102,,Y,0.12729,0.0575,0.09066
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,600664.SH,哈药股份,20081007,,Y,0.17825,0.29568,0.10169
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,002262.SZ,恩华药业,20081007,,Y,0.01109,0.08003,0.10762
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,002422.SZ,科伦药业,20100120,,Y,0.06839,0.0408,0.18083
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,002399.SZ,海普瑞,20240730,,Y,0.09687,0.21584,-0.09378
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,000813.SZ,德展健康,20180809,,Y,0.23673,0.15209,-0.25185
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,300199.SZ,翰宇药业,20110128,,Y,0.21602,-0.01398,-0.32298
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,600420.SH,国药现代,20110110,,Y,-0.01441,0.18252,0.2261
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,600789.SH,鲁抗医药,20110110,,Y,0.03841,0.37603,0.23235
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,000915.SZ,华特达因,20110110,,Y,0.21739,0.01111,0.09712
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,002294.SZ,信立泰,20110110,,Y,0.12788,0.06838,0.11334
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,600380.SH,健康元,20110110,,Y,0.04307,-0.05593,-0.07781
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,688506.SH,百利天恒-U,20221223,,Y,0.0943,0.3031,1.04787
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,002653.SZ,海思科,20120109,,Y,0.24579,0.26082,0.47489
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,300558.SZ,贝达药业,20161028,,Y,0.31495,0.1632,-0.19613
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,300573.SZ,兴齐眼药,20161201,,Y,-0.12469,-0.4652,-0.12508
801150.SI,医药生物,801151.SI,化学制药,851511.SI,原料药,301301.SZ,川宁生物,20240730,,Y,0.08587,0.40062,0.51342
801150.SI,医药生物,801151.SI,化学制药,851511.SI,原料药,002102.SZ,能特科技,20140701,,Y,-0.14935,0.03968,-0.14098
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,300723.SZ,一品红,20171108,,Y,0.04676,-0.25011,-0.36785
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,603367.SH,辰欣药业,20170921,,Y,0.00954,-0.10714,0.05283
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,300705.SZ,九典制药,20170921,,Y,-0.00622,-0.06513,0.34663
801150.SI,医药生物,801151.SI,化学制药,851511.SI,原料药,300497.SZ,富祥药业,20151222,,Y,0.39661,0.30105,0.06094
801150.SI,医药生物,801151.SI,化学制药,851511.SI,原料药,603229.SH,奥翔药业,20170419,,Y,0.18325,0.22162,-0.1943
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,002675.SZ,东诚药业,20170629,,Y,0.0627,0.00227,-0.28347
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,300233.SZ,金城医药,20190724,,Y,-0.04686,-0.14577,-0.26279
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,002550.SZ,千红制药,20190724,,Y,0.14134,0.27165,0.2447
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,002755.SZ,奥赛康,20190724,,Y,0.26816,0.3898,0.46452
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,688321.SH,微芯生物,20190724,,Y,0.3313,0.07883,-0.00416
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,600521.SH,华海药业,20190724,,Y,0.06278,0.20542,0.14073
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,600200.SH,江苏吴中,20190724,,Y,0.14869,-0.04076,0.2859
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,002020.SZ,京新药业,20190724,,Y,0.15512,0.12601,-0.02342
801150.SI,医药生物,801151.SI,化学制药,851511.SI,原料药,300765.SZ,新诺威,20190306,,Y,0.27579,-0.09902,1.03629
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,688658.SH,悦康药业,20201214,,Y,0.25539,0.49168,0.31342
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,600812.SH,华北制药,20180713,,Y,0.09252,0.13265,-0.03979
