l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通,601607.SH,上海医药,19940324,,Y,0.08784,0.20218,0.20634
801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通,600713.SH,南京医药,19960701,,Y,0.07333,0.05689,-0.02227
801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通,000028.SZ,国药一致,19930505,,Y,-0.02381,-0.16521,-0.01611
801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通,000078.SZ,海王生物,19981218,,Y,0.09836,0.20179,-0.12987
801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通,600998.SH,九州通,20100125,,Y,0.09283,-0.15635,-0.09441
801150.SI,医药生物,801154.SI,医药商业,851543.SI,线下药店,603939.SH,益丰药房,20150115,,Y,0.12184,-0.29555,-0.08435
801150.SI,医药生物,801154.SI,医药商业,851543.SI,线下药店,603883.SH,老百姓,20150113,,Y,0.24265,-0.2845,-0.05216
801150.SI,医药生物,801154.SI,医药商业,851543.SI,线下药店,002727.SZ,一心堂,20140120,,Y,0.02893,-0.28394,-0.36434
801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通,000950.SZ,重药控股,20190724,,Y,0.10484,0.03592,-0.00725
801150.SI,医药生物,801154.SI,医药商业,851543.SI,线下药店,603233.SH,大参林,20170712,,Y,0.13429,-0.26536,-0.3483
801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通,600511.SH,国药股份,20020114,,Y,-0.07065,-0.06902,0.02789
801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通,603108.SH,润达医疗,20220729,,Y,0.33535,-0.04017,0.0202
801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通,600056.SH,中国医药,20140701,,Y,0.06297,0.05307,-0.07749
801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通,301015.SZ,百洋医药,20210615,,Y,0.2314,-0.06864,0.19541
801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通,603368.SH,柳药集团,20140127,,Y,0.01722,-0.20324,-0.1206
