l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688213.SH,思特威-W,20220429,,Y,0.3134,0.43427,0.38578
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,600171.SH,上海贝岭,19980924,,Y,0.84552,2.52829,1.69955
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,688409.SH,富创精密,20220916,,Y,0.4528,0.18292,-0.02568
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,002049.SZ,紫光国微,20050530,,Y,0.38683,0.21884,-0.05142
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,002079.SZ,苏州固锝,20061026,,Y,0.54235,0.32035,0.03741
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,002119.SZ,康强电子,20070302,,Y,0.25156,0.27076,0.11392
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,002156.SZ,通富微电,20070815,,Y,0.13452,0.11464,0.25627
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,002185.SZ,华天科技,20071119,,Y,0.3575,0.38344,0.20667
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688047.SH,龙芯中科,20220610,,Y,0.4765,0.66329,0.64292
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,688120.SH,华海清科,20220520,,Y,0.29225,0.68891,0.32711
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,300077.SZ,国民技术,20100122,,Y,2.17992,2.37447,1.63292
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,300046.SZ,台基股份,20110110,,Y,1.35718,3.57076,2.01235
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,603005.SH,晶方科技,20140122,,Y,0.3036,0.47347,0.06795
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,301297.SZ,富乐德,20221223,,Y,2.47677,2.43342,1.95959
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688525.SH,佰维存储,20221223,,Y,0.39165,0.30604,0.06944
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,300327.SZ,中颖电子,20120104,,Y,0.33743,0.34431,0.0423
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,688234.SH,天岳先进,20211224,,Y,0.25934,0.31247,0.21628
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688220.SH,翱捷科技-U,20211224,,Y,0.25336,0.14629,-0.26622
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,603986.SH,兆易创新,20160804,,Y,0.14928,0.13278,-0.11855
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,688362.SH,甬矽电子,20221028,,Y,0.24767,0.09052,-0.21483
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,688432.SH,有研硅,20221028,,Y,0.36186,0.32875,-0.0798
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,688172.SH,燕东微,20221202,,Y,0.33903,0.23363,0.04313
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,688498.SH,源杰科技,20221202,,Y,0.77137,0.1137,-0.02167
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688141.SH,杰华特,20221209,,Y,0.50381,0.62329,-0.21
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,300373.SZ,扬杰科技,20140108,,Y,0.22413,0.34305,0.31495
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,002077.SZ,大港股份,20150701,,Y,0.17904,0.10604,-0.06479
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,300458.SZ,全志科技,20150106,,Y,0.64034,0.99898,0.62126
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,300671.SZ,富满微,20170615,,Y,0.4995,0.96342,0.28386
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,300672.SZ,国科微,20170628,,Y,0.39138,0.46756,-0.00421
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688262.SH,国芯科技,20211217,,Y,0.39144,0.03081,-0.20787
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,300623.SZ,捷捷微电,20170224,,Y,1.58997,1.74511,1.56775
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,300661.SZ,圣邦股份,20170522,,Y,0.35055,0.32646,0.14941
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,300613.SZ,富瀚微,20170208,,Y,0.19985,0.51508,0.01666
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,603501.SH,韦尔股份,20170419,,Y,0.21619,0.15762,0.11702
801080.SI,电子,801081.SI,半导体,850816.SI,集成电路制造,688249.SH,晶合集成,20230414,,Y,0.43469,0.44057,0.26439
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,300666.SZ,江丰电子,20190724,,Y,0.34736,0.46864,0.08992
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688099.SH,晶晨股份,20190724,,Y,0.23162,0.2944,0.18951
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688123.SH,聚辰股份,20191205,,Y,0.30473,0.19447,0.05651
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688018.SH,乐鑫科技,20190708,,Y,0.26631,0.75489,0.77474
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688008.SH,澜起科技,20190702,,Y,0.31499,0.38716,0.36472
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,300782.SZ,卓胜微,20190529,,Y,0.45955,0.17111,-0.1765
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688256.SH,寒武纪-U,20200707,,Y,0.83798,1.60442,2.60436
801080.SI,电子,801081.SI,半导体,850816.SI,集成电路制造,688396.SH,华润微,20200204,,Y,0.35191,0.45354,0.01452
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688608.SH,恒玄科技,20201201,,Y,0.53593,1.00599,1.0345
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688521.SH,芯原股份,20200731,,Y,0.43635,0.41308,-0.2159
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,002409.SZ,雅克科技,20200608,,Y,0.17718,0.07173,0.09477
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688041.SH,海光信息,20220802,,Y,0.68555,0.5443,1.35567
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,603290.SH,斯达半导,20200114,,Y,0.1833,0.01058,-0.17845
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688508.SH,芯朋微,20200706,,Y,0.26274,0.3701,-0.19796
801080.SI,电子,801081.SI,半导体,850816.SI,集成电路制造,688981.SH,中芯国际,20200706,,Y,0.97346,1.22777,0.7646
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688536.SH,思瑞浦,20200904,,Y,0.42075,0.35187,-0.27513
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688052.SH,纳芯微,20220401,,Y,0.27848,0.39808,0.11106
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,688072.SH,拓荆科技,20220401,,Y,0.18061,0.29944,-0.04285
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688279.SH,峰岹科技,20220401,,Y,0.4699,0.4012,0.46777
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688601.SH,力芯微,20210609,,Y,0.2332,0.12907,-0.09565
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688798.SH,艾为电子,20210729,,Y,0.50239,0.17148,-0.08326
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688385.SH,复旦微电,20210723,,Y,0.49137,0.45906,0.07084
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688270.SH,臻镭科技,20220114,,Y,0.45136,0.09009,0.03926
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,688126.SH,沪硅产业,20200402,,Y,0.6,0.86893,0.29005
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,603893.SH,瑞芯微,20200114,,Y,0.57042,0.59345,0.40454
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,605111.SH,新洁能,20200909,,Y,0.21339,0.41663,0.52917
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,605358.SH,立昂微,20200831,,Y,0.2138,0.2616,-0.17251
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,688403.SH,汇成股份,20220805,,Y,0.29224,0.17654,-0.04406
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,688361.SH,中科飞测,20230504,,Y,0.23601,0.27785,-0.13994
801080.SI,电子,801081.SI,半导体,850816.SI,集成电路制造,688469.SH,芯联集成-U,20230504,,Y,0.24021,0.01713,-0.09351
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688595.SH,芯海科技,20220729,,Y,0.44121,0.29231,0.12114
801080.SI,电子,801081.SI,半导体,850816.SI,集成电路制造,300456.SZ,赛微电子,20200730,,Y,0.4617,0.1806,-0.0468
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,603160.SH,汇顶科技,20170629,,Y,0.50178,0.47679,0.19347
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,600460.SH,士兰微,20151030,,Y,0.37739,0.5113,0.18354
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,600745.SH,闻泰科技,20220729,,Y,0.30389,0.17017,-0.22047
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688766.SH,普冉股份,20210813,,Y,0.28502,0.26092,0.17844
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688110.SH,东芯股份,20211126,,Y,0.35958,0.09733,-0.3327
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,600584.SH,长电科技,20110110,,Y,0.29738,0.55799,0.28797
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,301308.SZ,江波龙,20220725,,Y,0.31116,-0.01599,-0.0375
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,688200.SH,华峰测控,20210730,,Y,0.24002,0.1138,-0.10259
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,002371.SZ,北方华创,20210730,,Y,0.21003,0.24139,0.60173
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,600877.SH,电科芯片,20220729,,Y,0.34227,0.21031,0.03018
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688107.SH,安路科技,20211029,,Y,0.34278,0.19245,-0.31055
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,688082.SH,盛美上海,20211105,,Y,0.12909,0.30109,-0.0885
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688728.SH,格科微,20210813,,Y,0.48079,0.04148,0.02032
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688593.SH,新相微,20230512,,Y,0.98582,1.04377,0.24983
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688582.SH,芯动联科,20230609,,Y,0.42049,0.41874,0.29829
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688484.SH,南芯科技,20230317,,Y,0.25123,0.13779,-0.06127
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,300604.SZ,长川科技,20210730,,Y,0.42099,0.53973,0.35831
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,603690.SH,至纯科技,20210730,,Y,0.16456,-0.02201,-0.10751
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,688037.SH,芯源微,20210730,,Y,0.24613,0.24142,-0.09191
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,600206.SH,有研新材,20210730,,Y,0.28171,0.12071,-0.04435
801080.SI,电子,801081.SI,半导体,850816.SI,集成电路制造,688347.SH,华虹公司,20230731,,Y,0.31383,0.50233,0.00692
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,688012.SH,中微公司,20210730,,Y,0.18233,0.36252,0.15975
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,688138.SH,清溢光电,20191111,,Y,0.43739,0.44878,0.13425
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,300223.SZ,北京君正,20110124,,Y,0.46558,0.19539,0.08852
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688702.SH,盛科通信-U,20230908,,Y,0.39852,0.53294,0.12103
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,001309.SZ,德明利,20240730,,Y,0.25194,-0.11613,0.26332
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,300053.SZ,航宇微,20240730,,Y,0.56541,0.74975,0.44959
