l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801880.SI,汽车,801096.SI,商用车,850912.SI,商用载货车,000800.SZ,一汽解放,19970618,,Y,0.11224,-0.01802,-0.01357
801880.SI,汽车,801096.SI,商用车,850912.SI,商用载货车,600418.SH,江淮汽车,20170629,,Y,0.73079,1.05127,1.33906
801880.SI,汽车,801096.SI,商用车,850912.SI,商用载货车,000951.SZ,中国重汽,19991125,,Y,0.10519,-0.02295,0.1174
801880.SI,汽车,801096.SI,商用车,850913.SI,商用载客车,000957.SZ,中通客车,20000113,,Y,-0.03346,0.06996,0.02262
801880.SI,汽车,801096.SI,商用车,850912.SI,商用载货车,000550.SZ,江铃汽车,19931201,,Y,0.12003,0.00076,0.57762
801880.SI,汽车,801096.SI,商用车,850913.SI,商用载客车,600066.SH,宇通客车,19970508,,Y,0.21872,0.01643,0.93432
801880.SI,汽车,801096.SI,商用车,850912.SI,商用载货车,600006.SH,东风股份,19990727,,Y,-0.02643,-0.10526,0.11429
801880.SI,汽车,801096.SI,商用车,850912.SI,商用载货车,600166.SH,福田汽车,19980602,,Y,0.028,-0.05515,-0.28412
801880.SI,汽车,801096.SI,商用车,850912.SI,商用载货车,301039.SZ,中集车辆,20210630,,Y,0.24638,0.00292,-0.12838
801880.SI,汽车,801096.SI,商用车,850913.SI,商用载客车,600686.SH,金龙汽车,19931108,,Y,-0.14997,0.38095,0.74895
