l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,600820.SH,隧道股份,19940128,,Y,0.03402,0.05113,0.30654
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,600502.SH,安徽建工,20220729,,Y,0.18072,0.04701,0.10112
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,601390.SH,中国中铁,20071203,,Y,0.09151,-0.02815,0.0684
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,600284.SH,浦东建设,20040311,,Y,0.05376,0.02618,-0.08411
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,600039.SH,四川路桥,20030325,,Y,0.20484,0.1034,-0.00533
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,601669.SH,中国电建,20110927,,Y,0.02381,0.11133,0.07294
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,601186.SH,中国铁建,20080226,,Y,0.14408,0.13164,0.19821
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,601800.SH,中国交建,20120214,,Y,0.23149,0.16964,0.29383
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,000498.SZ,山东路桥,20130701,,Y,0.17988,0.12754,0.02007
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,002061.SZ,浙江交科,20180713,,Y,0.10685,0.06596,0.08311
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,601611.SH,中国核建,20160525,,Y,0.10655,0.14475,0.24928
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,002941.SZ,新疆交建,20181030,,Y,0.24286,0.00982,-0.36029
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,601868.SH,中国能建,20210928,,Y,0.06364,0.06849,0.06364
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,600133.SH,东湖高新,20170629,,Y,0.50248,0.08029,0.73
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,300197.SZ,节能铁汉,20110321,,Y,0.46763,0.19298,-0.11304
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,300355.SZ,蒙草生态,20120917,,Y,1.34914,0.9395,0.34568
