l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801790.SI,非银金融,801191.SI,多元金融,851924.SI,信托,000563.SZ,陕国投A,19940110,,Y,0.22759,0.1521,0.22337
801790.SI,非银金融,801191.SI,多元金融,851924.SI,信托,600816.SH,建元信托,19940128,,Y,0.21456,0.02589,0.09689
801790.SI,非银金融,801191.SI,多元金融,851922.SI,金融控股,000617.SZ,中油资本,19961022,,Y,0.4854,0.37733,0.33443
801790.SI,非银金融,801191.SI,多元金融,851922.SI,金融控股,600643.SH,爱建集团,19930426,,Y,0.40547,0.28995,0.07824
801790.SI,非银金融,801191.SI,多元金融,851922.SI,金融控股,002423.SZ,中粮资本,20100520,,Y,0.9675,0.93842,1.17403
801790.SI,非银金融,801191.SI,多元金融,851927.SI,资产管理,000567.SZ,海德股份,20180713,,Y,0.3186,0.16234,-0.11496
801790.SI,非银金融,801191.SI,多元金融,851923.SI,期货,603093.SH,南华期货,20190822,,Y,0.35754,0.15977,-0.00404
801790.SI,非银金融,801191.SI,多元金融,851925.SI,租赁,600901.SH,江苏金租,20180212,,Y,0.08884,0.04356,0.1557
801790.SI,非银金融,801191.SI,多元金融,851923.SI,期货,002961.SZ,瑞达期货,20190822,,Y,0.33887,0.20532,-0.04856
801790.SI,非银金融,801191.SI,多元金融,851924.SI,信托,600517.SH,国网英大,20220729,,Y,0.27143,0.15086,0.10788
801790.SI,非银金融,801191.SI,多元金融,851928.SI,其他多元金融,000958.SZ,电投产融,20220729,,Y,0.86441,0.72775,0.57143
801790.SI,非银金融,801191.SI,多元金融,851925.SI,租赁,603300.SH,华铁应急,20150126,,Y,0.05602,-0.10702,-0.15868
801790.SI,非银金融,801191.SI,多元金融,851927.SI,资产管理,600053.SH,九鼎投资,20180713,,Y,0.27795,0.10248,0.27202
801790.SI,非银金融,801191.SI,多元金融,851922.SI,金融控股,600120.SH,浙江东方,20190724,,Y,0.23944,0.10553,0.22222
801790.SI,非银金融,801191.SI,多元金融,851922.SI,金融控股,600390.SH,五矿资本,20170629,,Y,0.59189,0.50564,0.36122
801790.SI,非银金融,801191.SI,多元金融,851922.SI,金融控股,600705.SH,中航产融,20130701,,Y,0.48485,0.12459,0.00587
801790.SI,非银金融,801191.SI,多元金融,851922.SI,金融控股,000987.SZ,越秀资本,20210730,,Y,0.38224,0.2695,0.11875
801790.SI,非银金融,801191.SI,多元金融,851927.SI,资产管理,000935.SZ,四川双马,20230704,,Y,0.53898,0.23202,0.2379
801790.SI,非银金融,801191.SI,多元金融,851926.SI,金融信息服务,300773.SZ,拉卡拉,20210730,,Y,0.87341,0.62851,0.39911
801790.SI,非银金融,801191.SI,多元金融,851925.SI,租赁,000415.SZ,渤海租赁,19960624,,Y,0.00362,0.12146,0.13992
801790.SI,非银金融,801191.SI,多元金融,851923.SI,期货,600927.SH,永安期货,20211112,,Y,0.29313,0.12481,-0.06314
801790.SI,非银金融,801191.SI,多元金融,851922.SI,金融控股,600061.SH,国投资本,20210730,,Y,0.30969,0.18838,0.15749
