l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801140.SI,轻工制造,801142.SI,家居用品,851437.SI,成品家居,002489.SZ,浙江永强,20100111,,Y,0.19173,0.25794,-0.03058
801140.SI,轻工制造,801142.SI,家居用品,851437.SI,成品家居,603008.SH,喜临门,20120106,,Y,0.29827,0.16994,0.03582
801140.SI,轻工制造,801142.SI,家居用品,851437.SI,成品家居,603816.SH,顾家家居,20161012,,Y,0.23443,0.01238,-0.13606
801140.SI,轻工制造,801142.SI,家居用品,851438.SI,定制家居,603833.SH,欧派家居,20170310,,Y,0.37525,0.16715,-0.23182
801140.SI,轻工制造,801142.SI,家居用品,851437.SI,成品家居,603848.SH,好太太,20171121,,Y,0.08665,-0.00358,-0.0757
801140.SI,轻工制造,801142.SI,家居用品,851438.SI,定制家居,603801.SH,志邦家居,20170620,,Y,0.19031,-0.02525,-0.32416
801140.SI,轻工制造,801142.SI,家居用品,851439.SI,卫浴制品,603992.SH,松霖科技,20190808,,Y,0.24613,0.11605,0.50901
801140.SI,轻工制造,801142.SI,家居用品,851491.SI,其他家居用品,603195.SH,公牛集团,20200121,,Y,0.09811,-0.03665,0.11664
801140.SI,轻工制造,801142.SI,家居用品,851491.SI,其他家居用品,301004.SZ,嘉益股份,20210609,,Y,0.50043,0.63854,1.82703
801140.SI,轻工制造,801142.SI,家居用品,851491.SI,其他家居用品,605099.SH,共创草坪,20200914,,Y,0.16309,-0.05285,0.00881
801140.SI,轻工制造,801142.SI,家居用品,851439.SI,卫浴制品,603408.SH,建霖家居,20200713,,Y,0.10442,-0.17296,0.16636
801140.SI,轻工制造,801142.SI,家居用品,851436.SI,瓷砖地板,003012.SZ,东鹏控股,20210730,,Y,0.0735,-0.10286,-0.33404
801140.SI,轻工制造,801142.SI,家居用品,851438.SI,定制家居,002572.SZ,索菲亚,20110131,,Y,0.42755,0.24609,0.19233
