l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属,000960.SZ,锡业股份,20000221,,Y,0.16131,-0.08368,0.13091
801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属,600456.SH,宝钛股份,20000412,,Y,0.34644,0.27888,0.02494
801050.SI,有色金属,801054.SI,小金属,850542.SI,钨,000657.SZ,中钨高新,19961205,,Y,0.14568,-0.1237,0.00108
801050.SI,有色金属,801054.SI,小金属,850541.SI,稀土,000831.SZ,中国稀土,19980911,,Y,0.29276,0.02704,0.05897
801050.SI,有色金属,801054.SI,小金属,850542.SI,钨,600549.SH,厦门钨业,20021107,,Y,0.22114,0.05016,0.21377
801050.SI,有色金属,801054.SI,小金属,850541.SI,稀土,600392.SH,盛和资源,20030529,,Y,0.25405,0.0,-0.05446
801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属,002167.SZ,东方锆业,20070912,,Y,0.27885,-0.17901,0.01064
801050.SI,有色金属,801054.SI,小金属,850542.SI,钨,002378.SZ,章源钨业,20100312,,Y,0.27947,0.01815,0.19326
801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属,002428.SZ,云南锗业,20100601,,Y,0.29056,0.54344,0.23285
801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属,002149.SZ,西部材料,20190724,,Y,0.23042,0.1363,0.14989
801050.SI,有色金属,801054.SI,小金属,850541.SI,稀土,600111.SH,北方稀土,20080602,,Y,0.24178,0.06869,-0.01901
801050.SI,有色金属,801054.SI,小金属,850541.SI,稀土,600259.SH,广晟有色,20100601,,Y,0.17448,-0.01421,-0.11931
801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属,600459.SH,贵研铂业,20070702,,Y,0.1,-0.01583,-0.01038
801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属,000962.SZ,东方钽业,20210730,,Y,0.23317,0.11953,-0.02773
801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属,002738.SZ,中矿资源,20210730,,Y,0.30063,0.05632,-0.03185
801050.SI,有色金属,801054.SI,小金属,850545.SI,钼,603993.SH,洛阳钼业,20210730,,Y,0.13957,-0.13253,0.39437
801050.SI,有色金属,801054.SI,小金属,850545.SI,钼,601958.SH,金钼股份,20210730,,Y,0.09812,-0.01336,0.13292
801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属,002978.SZ,安宁股份,20200316,,Y,0.21318,-0.05573,-0.07082
801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属,002182.SZ,宝武镁业,20210730,,Y,0.13589,-0.15769,-0.20882
