l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801760.SI,传媒,801766.SI,影视院线,857661.SI,影视动漫制作,600088.SH,中视传媒,20220729,,Y,0.18212,-0.1082,0.46689
801760.SI,传媒,801766.SI,影视院线,857661.SI,影视动漫制作,002292.SZ,奥飞娱乐,20090820,,Y,0.2461,0.09437,-0.04515
801760.SI,传媒,801766.SI,影视院线,857661.SI,影视动漫制作,300027.SZ,华谊兄弟,20091016,,Y,0.60452,0.46392,0.09231
801760.SI,传媒,801766.SI,影视院线,857661.SI,影视动漫制作,300133.SZ,华策影视,20101012,,Y,0.33275,-0.03774,0.41667
801760.SI,传媒,801766.SI,影视院线,857661.SI,影视动漫制作,300251.SZ,光线传媒,20110726,,Y,0.14745,-0.06754,0.09884
801760.SI,传媒,801766.SI,影视院线,857661.SI,影视动漫制作,300182.SZ,捷成股份,20110210,,Y,0.54595,0.16024,0.12821
801760.SI,传媒,801766.SI,影视院线,857662.SI,院线,002739.SZ,万达电影,20150115,,Y,0.03617,-0.25391,-0.05523
801760.SI,传媒,801766.SI,影视院线,857661.SI,影视动漫制作,600977.SH,中国电影,20160804,,Y,0.05664,-0.04849,-0.06798
801760.SI,传媒,801766.SI,影视院线,857661.SI,影视动漫制作,601595.SH,上海电影,20160804,,Y,0.36952,-0.11144,0.42622
801760.SI,传媒,801766.SI,影视院线,857662.SI,院线,603103.SH,横店影视,20170921,,Y,-0.0711,-0.22426,-0.13093
801760.SI,传媒,801766.SI,影视院线,857661.SI,影视动漫制作,001330.SZ,博纳影业,20220805,,Y,0.15813,-0.19629,-0.2582
