l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000036.SZ,华联控股,19940617,,Y,0.54849,0.58562,0.24129
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000048.SZ,京基智农,19941101,,Y,0.16919,0.06717,-0.00352
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,600736.SH,苏州高新,19960815,,Y,0.17011,0.14898,0.09462
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000002.SZ,万科A,19910129,,Y,0.32081,0.33042,-0.25143
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000011.SZ,深物业A,19920330,,Y,0.17916,0.26033,0.12766
801180.SI,房地产,801181.SI,房地产开发,851813.SI,产业地产,600604.SH,市北高新,19920327,,Y,0.25333,0.21134,0.00642
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,600606.SH,绿地控股,19920327,,Y,0.32192,0.09659,-0.24609
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,600657.SH,信达地产,19921221,,Y,0.60884,0.3871,0.23822
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000029.SZ,深深房A,19930915,,Y,0.44475,0.45547,0.35492
801180.SI,房地产,801181.SI,房地产开发,851813.SI,产业地产,600639.SH,浦东金桥,19930326,,Y,0.09665,0.03058,0.03154
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,600641.SH,万业企业,19930407,,Y,0.47588,0.26214,0.02767
801180.SI,房地产,801181.SI,房地产开发,851813.SI,产业地产,600648.SH,外高桥,19930504,,Y,0.22907,0.27107,0.03047
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,600649.SH,城投控股,19930518,,Y,0.30791,0.34593,0.11298
801180.SI,房地产,801181.SI,房地产开发,851813.SI,产业地产,600658.SH,电子城,19930524,,Y,0.76471,0.58333,0.28378
801180.SI,房地产,801181.SI,房地产开发,851812.SI,商业地产,600663.SH,陆家嘴,19930628,,Y,0.176,0.21059,0.13702
