l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,000021.SZ,深科技,19940202,,Y,0.42461,0.38613,0.10343
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,600363.SH,联创光电,20220729,,Y,0.28202,0.12659,0.0534
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002475.SZ,立讯精密,20100914,,Y,0.22044,0.51679,0.37227
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002241.SZ,歌尔股份,20080505,,Y,0.15682,0.50776,0.31993
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300136.SZ,信维通信,20101025,,Y,0.36551,0.28825,0.13479
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300115.SZ,长盈精密,20100901,,Y,0.49617,0.49904,0.4722
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002402.SZ,和而泰,20100511,,Y,0.19502,-0.01538,-0.17479
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002139.SZ,拓邦股份,20110110,,Y,0.1952,0.13031,0.08325
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300322.SZ,硕贝德,20120528,,Y,0.71247,0.75896,-0.06897
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002655.SZ,共达电声,20120109,,Y,0.44714,0.44574,0.1218
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,601231.SH,环旭电子,20120109,,Y,0.04759,0.09836,0.05332
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300433.SZ,蓝思科技,20150109,,Y,0.34777,0.65525,0.69858
801080.SI,电子,801085.SI,消费电子,850853.SI,品牌消费电子,002045.SZ,国光电器,20110110,,Y,0.16516,-0.00386,-0.08828
801080.SI,电子,801085.SI,消费电子,850853.SI,品牌消费电子,002351.SZ,漫步者,20110110,,Y,0.20141,0.07256,-0.18072
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002600.SZ,领益智造,20180713,,Y,0.27736,0.61059,0.45641
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002855.SZ,捷荣技术,20170301,,Y,0.32021,-0.05902,-0.45714
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300679.SZ,电连技术,20170726,,Y,0.41279,0.06017,0.19033
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300709.SZ,精研科技,20170925,,Y,0.72388,0.50931,0.921
801080.SI,电子,801085.SI,消费电子,850853.SI,品牌消费电子,688036.SH,传音控股,20190916,,Y,0.21551,-0.12972,-0.08474
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300793.SZ,佳禾智能,20190927,,Y,0.42005,0.26775,-0.09923
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,603327.SH,福蓉科技,20190506,,Y,0.23274,0.01753,0.27215
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002947.SZ,恒铭达,20190124,,Y,0.17431,0.19994,0.45827
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300857.SZ,协创数据,20200713,,Y,0.47794,0.31546,1.92025
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,603890.SH,春秋电子,20171208,,Y,0.46801,0.33562,0.22129
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300735.SZ,光弘科技,20171220,,Y,0.88403,0.47748,0.623
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,601138.SH,工业富联,20180528,,Y,0.28815,0.08042,0.51386
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002937.SZ,兴瑞科技,20180918,,Y,0.03264,-0.14968,-0.11395
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002426.SZ,胜利精密,20220729,,Y,0.3758,0.31707,-0.15294
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002993.SZ,奥海科技,20200727,,Y,0.03027,-0.02633,-0.24062
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002681.SZ,奋达科技,20120130,,Y,0.38393,0.0967,-0.06061
801080.SI,电子,801085.SI,消费电子,850853.SI,品牌消费电子,002841.SZ,视源股份,20220729,,Y,0.24966,0.1939,-0.27064
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002925.SZ,盈趣科技,20180108,,Y,0.19544,-0.03604,-0.22632
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300256.SZ,星星科技,20111010,,Y,0.9711,0.64734,0.04923
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,600203.SH,福日电子,20170629,,Y,0.66093,0.44895,0.30229
801080.SI,电子,801085.SI,消费电子,850853.SI,品牌消费电子,300866.SZ,安克创新,20210730,,Y,0.5486,0.27174,0.1413
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,603296.SH,华勤技术,20230731,,Y,0.23051,0.15846,0.11543
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,002635.SZ,安洁科技,20110117,,Y,0.23141,0.12008,0.16094
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,300602.SZ,飞荣达,20170116,,Y,0.52826,0.34127,0.01807
801080.SI,电子,801085.SI,消费电子,850853.SI,品牌消费电子,688007.SH,光峰科技,20210730,,Y,0.101,-0.15503,-0.4506
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,603626.SH,科森科技,20210730,,Y,0.98337,0.62245,0.31224
