l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,600633.SH,浙数文化,19930304,,Y,0.29013,0.0796,-0.10993
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,002174.SZ,游族网络,20070924,,Y,0.29342,0.04797,-0.1096
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,300052.SZ,中青宝,20100203,,Y,1.04766,0.98561,0.41752
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,002624.SZ,完美世界,20150701,,Y,0.26557,0.03212,-0.17618
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,300113.SZ,顺网科技,20100809,,Y,0.37095,0.24067,0.0705
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,002602.SZ,世纪华通,20110713,,Y,0.30745,0.02934,-0.18882
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,300315.SZ,掌趣科技,20120427,,Y,0.33656,0.10621,0.19222
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,002555.SZ,三七互娱,20110221,,Y,0.25884,0.06425,-0.15248
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,300418.SZ,昆仑万维,20150115,,Y,0.52352,0.0591,0.2815
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,300459.SZ,汤姆猫,20150106,,Y,0.4422,0.26972,0.0
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,002558.SZ,巨人网络,20170522,,Y,0.34449,0.12365,0.0641
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,002517.SZ,恺英网络,20111010,,Y,0.3701,0.17455,0.26295
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,300031.SZ,宝通科技,20170629,,Y,0.32687,0.54235,0.13623
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,603444.SH,吉比特,20161226,,Y,0.14194,0.17806,-0.36054
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,002605.SZ,姚记科技,20210916,,Y,0.40947,0.19027,0.16102
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,300002.SZ,神州泰岳,20210730,,Y,0.57159,0.39752,0.39752
