l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,000552.SZ,甘肃能化,19940106,,Y,0.01449,-0.19075,-0.125
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,000983.SZ,山西焦煤,20000726,,Y,0.05817,-0.11674,-0.05316
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,600123.SH,兰花科创,19981217,,Y,0.10285,-0.00447,-0.00224
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,600188.SH,兖矿能源,19980701,,Y,0.11744,-0.04964,0.08169
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,000937.SZ,冀中能源,19990909,,Y,0.16791,-0.08746,0.03987
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,600395.SH,盘江股份,20010531,,Y,0.04972,0.03261,-0.04202
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,600508.SH,上海能源,20010829,,Y,0.13021,0.00226,-0.01411
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,600546.SH,山煤国际,20030729,,Y,0.04031,-0.01032,-0.24564
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,600348.SH,华阳股份,20030819,,Y,0.08391,-0.07512,0.04095
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,600403.SH,大有能源,20031009,,Y,0.25591,0.08503,-0.2276
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,600971.SH,恒源煤电,20040816,,Y,0.00299,-0.1604,0.14205
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,601001.SH,晋控煤业,20060621,,Y,0.08288,0.11781,0.45173
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,601666.SH,平煤股份,20061121,,Y,-0.02679,-0.15038,0.06716
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,601699.SH,潞安环能,20060922,,Y,0.06729,-0.18036,-0.09423
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,601918.SH,新集能源,20071217,,Y,-0.02686,-0.10248,0.6004
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,601088.SH,中国神华,20071008,,Y,0.05246,0.08943,0.37119
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,002128.SZ,电投能源,20070418,,Y,0.14892,0.08156,0.54062
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,601101.SH,昊华能源,20100115,,Y,0.15394,0.20839,0.61754
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,601898.SH,中煤能源,20080102,,Y,0.16205,0.24744,0.65148
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,600925.SH,苏能股份,20230224,,Y,0.08669,0.01507,-0.01821
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,601225.SH,陕西煤业,20140108,,Y,0.11111,0.05396,0.41323
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,600575.SH,淮河能源,20220729,,Y,0.11233,0.44484,0.48718
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,600985.SH,淮北矿业,20190724,,Y,0.08874,-0.05733,0.20559
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,600157.SH,永泰能源,20210730,,Y,0.07438,-0.03704,-0.07801
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,600997.SH,开滦股份,20230704,,Y,0.14026,-0.11975,0.06801
