l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,000035.SZ,中国天楹,19940408,,Y,0.04376,0.04605,-0.19153
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,600874.SH,创业环保,19950630,,Y,0.00868,0.01043,0.04874
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,000544.SZ,中原环保,19931208,,Y,0.18194,0.26131,0.20502
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,600008.SH,首创环保,20000424,,Y,0.1134,0.16547,0.20896
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,600323.SH,瀚蓝环境,20001225,,Y,0.08013,0.28056,0.33468
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,000598.SZ,兴蓉环境,19960529,,Y,-0.04857,0.10725,0.46923
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,000685.SZ,中山公用,19970123,,Y,0.16577,0.10897,0.22348
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,600187.SH,国中水务,19981111,,Y,0.32215,0.75893,0.47566
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,600461.SH,洪城环境,20040531,,Y,-0.1805,-0.02938,0.14048
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,300070.SZ,碧水源,20100412,,Y,0.20588,0.02075,-0.00806
801970.SI,环保,801971.SI,环境治理,859711.SI,大气治理,300056.SZ,中创环保,20100108,,Y,1.2151,0.97753,1.663
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,002034.SZ,旺能环境,20190724,,Y,0.17669,0.13938,0.06186
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,002266.SZ,浙富控股,20200902,,Y,0.11905,0.00305,-0.11796
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,300779.SZ,惠城环保,20190506,,Y,1.12564,1.44531,1.55361
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,601330.SH,绿色动力,20180528,,Y,0.07057,-0.05038,-0.05615
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,300815.SZ,玉禾田,20200108,,Y,0.21128,0.10184,-0.01842
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,601827.SH,三峰环境,20200518,,Y,0.03759,0.20983,0.27057
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,003039.SZ,顺控发展,20210219,,Y,0.09415,-0.0308,-0.13248
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,601158.SH,重庆水务,20100111,,Y,-0.02405,-0.00612,-0.09142
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,601200.SH,上海环境,20170331,,Y,0.12617,0.10686,0.07152
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,601199.SH,江南水务,20110110,,Y,0.12598,0.19167,0.08952
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,002210.SZ,飞马国际,20220729,,Y,0.45033,0.36025,0.10606
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,603568.SH,伟明环保,20150126,,Y,0.16384,0.05757,0.2212
801970.SI,环保,801971.SI,环境治理,859711.SI,大气治理,600292.SH,远达环保,20121231,,Y,0.84177,0.64717,0.46723
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,600217.SH,中再资环,20150701,,Y,0.54484,0.5518,0.49783
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,002573.SZ,清新环境,20230704,,Y,0.1727,0.0,-0.14949
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,300388.SZ,节能国祯,20140207,,Y,0.3169,0.23432,0.16693
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,603588.SH,高能环境,20140120,,Y,0.12311,-0.12752,-0.32817
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,000885.SZ,城发环境,20240517,,Y,0.07417,-0.00565,0.17127
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,300140.SZ,节能环境,20240730,,Y,0.30021,-0.06825,-0.16155
