l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,600867.SH,通化东宝,19940824,,Y,0.02956,-0.19071,-0.22878
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,000661.SZ,长春高新,19961218,,Y,0.11092,-0.06875,-0.24401
801150.SI,医药生物,801152.SI,生物制品,851522.SI,血液制品,000403.SZ,派林生物,19960628,,Y,-0.09398,-0.22293,0.08068
801150.SI,医药生物,801152.SI,生物制品,851522.SI,血液制品,600161.SH,天坛生物,19980616,,Y,-0.07825,-0.04983,-0.01359
801150.SI,医药生物,801152.SI,生物制品,851522.SI,血液制品,002252.SZ,上海莱士,20080102,,Y,-0.03646,0.03933,0.08504
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,300009.SZ,安科生物,20090122,,Y,0.05239,-0.04545,-0.06478
801150.SI,医药生物,801152.SI,生物制品,851523.SI,疫苗,300122.SZ,智飞生物,20100125,,Y,0.23451,-0.04527,-0.4154
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,000534.SZ,万泽股份,20200722,,Y,0.21602,0.08018,-0.04462
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,002773.SZ,康弘药业,20240730,,Y,-0.04766,-0.02801,0.18585
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,300357.SZ,我武生物,20140108,,Y,0.24206,0.04942,-0.15332
801150.SI,医药生物,801152.SI,生物制品,851522.SI,血液制品,002880.SZ,卫光生物,20170605,,Y,0.01832,-0.01116,-0.18511
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,688278.SH,特宝生物,20200106,,Y,0.56023,0.36917,1.14587
801150.SI,医药生物,801152.SI,生物制品,851523.SI,疫苗,688185.SH,康希诺,20200727,,Y,0.39951,0.15822,-0.27261
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,688336.SH,三生国健,20200707,,Y,0.368,0.0333,0.16234
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,603087.SH,甘李药业,20200612,,Y,0.18698,0.0589,0.10462
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,688180.SH,君实生物-U,20200624,,Y,0.12596,0.18292,-0.20907
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,688520.SH,神州细胞-U,20200605,,Y,0.09027,-0.18915,-0.17991
801150.SI,医药生物,801152.SI,生物制品,851523.SI,疫苗,300841.SZ,康华生物,20200605,,Y,0.231,0.09288,0.08352
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,301047.SZ,义翘神州,20220729,,Y,0.06823,0.01722,-0.15748
801150.SI,医药生物,801152.SI,生物制品,851523.SI,疫苗,688276.SH,百克生物,20210609,,Y,-0.04112,-0.25312,-0.53267
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,688177.SH,百奥泰,20200204,,Y,0.11561,-0.24431,-0.22915
801150.SI,医药生物,801152.SI,生物制品,851523.SI,疫苗,300142.SZ,沃森生物,20100104,,Y,0.33906,0.08939,-0.34864
801150.SI,医药生物,801152.SI,生物制品,851523.SI,疫苗,002007.SZ,华兰生物,20220729,,Y,0.02957,-0.08288,-0.24149
801150.SI,医药生物,801152.SI,生物制品,851523.SI,疫苗,300601.SZ,康泰生物,20170116,,Y,0.20076,-0.0785,-0.35052
801150.SI,医药生物,801152.SI,生物制品,851523.SI,疫苗,603392.SH,万泰生物,20220729,,Y,0.12284,0.11788,0.61824
801150.SI,医药生物,801152.SI,生物制品,851523.SI,疫苗,688739.SH,成大生物,20211015,,Y,0.1428,0.01577,-0.15243
801150.SI,医药生物,801152.SI,生物制品,851523.SI,疫苗,600739.SH,辽宁成大,20190724,,Y,0.34379,0.0943,-0.09504
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,600211.SH,西藏药业,20230704,,Y,0.20638,0.14999,0.10988
801150.SI,医药生物,801152.SI,生物制品,851522.SI,血液制品,300294.SZ,博雅生物,20120130,,Y,-0.01799,0.03469,0.06409
