l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,000561.SZ,烽火电子,19940509,,Y,0.3642,0.13043,0.00341
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,600765.SH,中航重机,19961106,,Y,0.12324,0.25654,0.0552
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,600038.SH,中直股份,20001218,,Y,0.05517,-0.01456,0.12414
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,600316.SH,洪都航空,20001214,,Y,0.73951,0.88938,0.61934
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,000738.SZ,航发控制,19970626,,Y,0.12667,0.23792,0.1381
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,000768.SZ,中航西飞,19970626,,Y,0.17546,0.34538,0.34785
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,600372.SH,中航机载,20010704,,Y,0.04087,0.08431,-0.0539
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,600391.SH,航发科技,20011212,,Y,0.25806,0.20858,0.07132
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,002023.SZ,海特高新,20040719,,Y,0.22486,0.0107,0.18267
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,688297.SH,中无人机,20220610,,Y,0.64357,0.33316,0.11639
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,002625.SZ,光启技术,20111026,,Y,1.31701,1.06107,1.83906
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,300424.SZ,航新科技,20150413,,Y,0.63099,0.82955,0.6583
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,600862.SH,中航高科,20151102,,Y,0.23469,0.27034,-0.0082
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,688281.SH,华秦科技,20220218,,Y,0.20476,0.10218,0.0001
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,300581.SZ,晨曦航空,20170629,,Y,0.4023,0.28722,-0.00813
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,002389.SZ,航天彩虹,20190724,,Y,0.39903,0.19726,-0.02333
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,300775.SZ,三角防务,20190506,,Y,-0.02054,0.15736,-0.0564
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,688586.SH,江航装备,20200721,,Y,0.12579,0.15135,-0.06415
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,300900.SZ,广联航空,20201016,,Y,0.4968,0.16027,0.50468
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,600760.SH,中航沈飞,20180713,,Y,0.15901,0.25459,0.15617
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,688239.SH,航宇科技,20210622,,Y,0.32039,0.24428,-0.16273
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,688685.SH,迈信林,20210426,,Y,0.539,0.24547,1.40688
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,002985.SZ,北摩高科,20200413,,Y,0.20548,-0.03938,-0.30825
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,605123.SH,派克新材,20200810,,Y,0.16013,-0.13636,-0.32057
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,600893.SH,航发动力,20070702,,Y,0.12717,0.2324,0.20303
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,688122.SH,西部超导,20210730,,Y,0.37134,0.33307,0.1022
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,300777.SZ,中简科技,20210730,,Y,0.49629,0.29402,-0.01676
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,688563.SH,航材股份,20230630,,Y,0.19988,0.09086,0.01399
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,002111.SZ,威海广泰,20230704,,Y,0.21869,0.11252,0.34577
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,300034.SZ,钢研高纳,20210730,,Y,0.18302,0.04114,-0.22275
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,300395.SZ,菲利华,20210730,,Y,0.42911,0.72091,0.11396
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,300699.SZ,光威复材,20210730,,Y,0.28757,0.38757,0.34021
