l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,000783.SZ,长江证券,19970731,,Y,0.33992,0.21505,0.21071
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,600109.SH,国金证券,19970807,,Y,0.19004,0.05581,0.02368
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,000686.SZ,东北证券,19970227,,Y,0.31857,0.125,0.03893
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,000750.SZ,国海证券,19970709,,Y,0.66007,0.51051,0.39722
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,601099.SH,太平洋,20071227,,Y,0.37994,0.37994,0.24044
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,600030.SH,中信证券,20030106,,Y,0.47849,0.47138,0.31077
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,601788.SH,光大证券,20090728,,Y,0.18256,0.07896,0.10837
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,600999.SH,招商证券,20091103,,Y,0.34925,0.3302,0.46302
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,601688.SH,华泰证券,20100203,,Y,0.38276,0.25714,0.14859
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,002500.SZ,山西证券,20101101,,Y,0.26273,0.2326,0.12319
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,601377.SH,兴业证券,20100920,,Y,0.23269,0.1426,0.0207
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,300059.SZ,东方财富,20100310,,Y,1.12746,0.73018,0.52247
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,601555.SH,东吴证券,20111202,,Y,0.28339,0.22551,0.00896
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,002670.SZ,国盛金控,20120106,,Y,0.20997,0.1572,0.24699
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,002673.SZ,西部证券,20120423,,Y,0.30757,0.11725,0.27538
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,000712.SZ,锦龙股份,20090601,,Y,0.385,0.27083,0.11085
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,000728.SZ,国元证券,20070702,,Y,0.30061,0.27903,0.29466
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,601059.SH,信达证券,20221223,,Y,0.13786,0.0071,-0.03525
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,601901.SH,方正证券,20110801,,Y,0.16576,-0.02831,0.2
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,000776.SZ,广发证券,20070702,,Y,0.33196,0.23624,0.14925
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,601108.SH,财通证券,20171010,,Y,0.22985,0.08136,0.05913
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,601878.SH,浙商证券,20170522,,Y,0.17563,0.21257,0.35118
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,600864.SH,哈投股份,20170629,,Y,0.2505,0.22136,0.14781
