l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,000503.SZ,国新健康,19921130,,Y,1.2011,0.86247,0.48237
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,301153.SZ,中科江南,20220429,,Y,0.70869,0.03697,-0.06817
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,000948.SZ,南天信息,19991014,,Y,0.5453,0.31097,0.09836
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,600588.SH,用友网络,20010518,,Y,0.27095,-0.00596,-0.29596
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,600570.SH,恒生电子,20031211,,Y,0.52839,0.23444,-0.14628
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002063.SZ,远光软件,20060823,,Y,0.11324,0.10687,-0.01861
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002153.SZ,石基信息,20070810,,Y,0.34823,0.04023,-0.3321
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300098.SZ,高新兴,20100722,,Y,0.28431,0.57831,0.09623
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,002230.SZ,科大讯飞,20080417,,Y,0.25809,0.02803,-0.13978
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300033.SZ,同花顺,20091210,,Y,0.9668,0.65992,0.36077
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,300036.SZ,超图软件,20091210,,Y,0.38428,0.20831,-0.04667
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300047.SZ,天源迪科,20091229,,Y,1.26094,0.95541,0.56602
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002405.SZ,四维图新,20100512,,Y,0.47481,0.39595,-0.06757
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,002439.SZ,启明星辰,20100602,,Y,0.17744,-0.10601,-0.32305
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300085.SZ,银之杰,20100512,,Y,3.82421,3.03113,2.10412
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002410.SZ,广联达,20100512,,Y,0.38617,0.32143,-0.32062
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300226.SZ,上海钢联,20110530,,Y,0.55277,0.28847,0.01362
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,601519.SH,大智慧,20110119,,Y,0.40862,0.22673,0.08499
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,300378.SZ,鼎捷数智,20140108,,Y,0.58143,0.42152,0.07181
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300380.SZ,安硕信息,20140122,,Y,1.58309,1.6693,0.81178
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300379.SZ,东方通,20140122,,Y,1.10886,0.58969,-0.03755
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300229.SZ,拓尔思,20110607,,Y,0.45865,0.15476,-0.05315
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300188.SZ,国投智能,20110307,,Y,0.35786,0.12406,-0.05499
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300253.SZ,卫宁健康,20110805,,Y,0.40437,0.11416,0.01849
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300348.SZ,长亮科技,20120808,,Y,1.41322,1.30223,0.72952
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300352.SZ,北信源,20120904,,Y,0.56806,0.35214,0.18146
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300451.SZ,创业慧康,20150106,,Y,0.54303,0.23223,-0.22963
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,300766.SZ,每日互动,20211224,,Y,0.59416,0.2831,-0.02836
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,603528.SH,多伦科技,20160418,,Y,0.25493,0.18295,-0.01294
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300520.SZ,科大国创,20160624,,Y,0.33947,0.02414,-0.04548
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300377.SZ,赢时胜,20140108,,Y,1.40325,1.17157,0.57651
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,300369.SZ,绿盟科技,20140108,,Y,0.68347,0.269,-0.14447
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300366.SZ,创意信息,20140108,,Y,0.41477,0.20733,-0.33711
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,603383.SH,顶点软件,20170504,,Y,0.28114,0.29936,-0.19577
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300663.SZ,科蓝软件,20170522,,Y,1.39661,1.20273,0.50969
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,603039.SH,泛微网络,20170105,,Y,0.29225,0.02143,-0.2871
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300469.SZ,信息发展,20150611,,Y,1.21048,0.97889,0.49852
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300525.SZ,博思软件,20160718,,Y,0.52773,0.34066,0.2449
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300542.SZ,新晨科技,20160907,,Y,1.24501,1.15721,1.13754
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002920.SZ,德赛西威,20171208,,Y,0.36882,0.03526,-0.02603
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,688023.SH,安恒信息,20191023,,Y,0.70566,0.16032,-0.5036
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,603927.SH,中科软,20190822,,Y,0.33737,0.09253,-0.04083
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,300768.SZ,迪普科技,20190326,,Y,0.69655,0.49317,0.30938
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,688111.SH,金山办公,20191101,,Y,0.33938,-0.14785,-0.27175
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300925.SZ,法本信息,20201214,,Y,1.66492,1.79405,0.93222
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300803.SZ,指南针,20191101,,Y,1.4996,1.08548,0.62656
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,688561.SH,奇安信-U,20200713,,Y,0.40823,0.04598,-0.33463
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,688318.SH,财富趋势,20200413,,Y,0.80306,0.77527,0.5938
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002261.SZ,拓维信息,20220121,,Y,1.34433,0.7591,0.2238
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002987.SZ,京北方,20200416,,Y,0.61134,0.28047,0.16212
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,688095.SH,福昕软件,20200831,,Y,0.77118,0.32896,-0.02402
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,601360.SH,三六零,20120116,,Y,0.17945,0.04364,-0.07717
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,300454.SZ,深信服,20180507,,Y,0.38595,0.22638,-0.2462
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300579.SZ,数字认证,20161212,,Y,0.4097,0.41179,0.01641
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300468.SZ,四方精创,20150126,,Y,1.7446,1.53819,1.02247
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,300624.SZ,万兴科技,20180108,,Y,0.38646,-0.04199,0.01038
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300598.SZ,诚迈科技,20170116,,Y,1.14836,1.09628,0.59519
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,688326.SH,经纬恒润-W,20220330,,Y,0.38751,0.42551,-0.30597
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,301269.SZ,华大九天,20220715,,Y,0.3198,0.30588,-0.00364
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,600602.SH,云赛智联,20180619,,Y,0.46535,0.17834,0.0068
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,600654.SH,中安科,20180619,,Y,0.07792,-0.004,0.2029
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,301095.SZ,广立微,20220725,,Y,0.22299,0.01548,-0.39757
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,688631.SH,莱斯信息,20230609,,Y,1.21881,0.45037,2.41923
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,688083.SH,中望软件,20210301,,Y,0.33241,0.09829,-0.22612
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300075.SZ,数字政通,20100419,,Y,0.22388,0.04926,-0.10038
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300465.SZ,高伟达,20150126,,Y,0.91629,0.70479,0.25933
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,002212.SZ,天融信,20210730,,Y,0.30786,-0.02443,-0.33958
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002322.SZ,理工能科,20210730,,Y,-0.01434,0.14161,0.45171
