l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,000595.SZ,宝塔实业,19960419,,Y,1.5814,1.3617,0.85343
801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具,000410.SZ,沈阳机床,19960718,,Y,0.14747,0.07174,0.03177
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,000777.SZ,中核科技,19970710,,Y,0.21053,-0.01048,0.38962
801890.SI,机械设备,801072.SI,通用设备,850715.SI,制冷空调设备,000811.SZ,冰轮环境,19980528,,Y,0.14137,-0.11021,-0.28416
801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具,000837.SZ,秦川机床,19980928,,Y,0.10101,-0.02242,-0.25787
801890.SI,机械设备,801072.SI,通用设备,850715.SI,制冷空调设备,002158.SZ,汉钟精机,20070816,,Y,0.11975,-0.001,-0.08921
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,002444.SZ,巨星科技,20100712,,Y,0.22189,0.19713,0.57032
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,300145.SZ,中金环境,20101129,,Y,0.28512,0.00974,0.06507
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,688333.SH,铂力特,20220729,,Y,0.09374,-0.03603,-0.31175
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,002438.SZ,江苏神通,20100601,,Y,0.16758,0.07731,0.23865
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,300260.SZ,新莱应材,20110823,,Y,0.37574,0.06541,-0.25983
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,300257.SZ,开山股份,20110809,,Y,0.0615,-0.25141,-0.33286
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,603308.SH,应流股份,20140108,,Y,0.11844,-0.17427,-0.02723
801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具,300161.SZ,华中数控,20110104,,Y,0.13575,0.03936,-0.28868
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,300441.SZ,鲍斯股份,20150413,,Y,0.54063,0.43364,0.55351
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,300470.SZ,中密控股,20150115,,Y,0.21222,0.08502,-0.04525
