l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801140.SI,轻工制造,801143.SI,造纸,851412.SI,大宗用纸,000488.SZ,晨鸣纸业,20001120,,Y,0.04607,0.02387,-0.14031
801140.SI,轻工制造,801143.SI,造纸,851412.SI,大宗用纸,600308.SH,华泰股份,20000928,,Y,0.12308,0.06725,0.03693
801140.SI,轻工制造,801143.SI,造纸,851412.SI,大宗用纸,000815.SZ,美利云,19980609,,Y,0.40307,0.1278,-0.13126
801140.SI,轻工制造,801143.SI,造纸,851412.SI,大宗用纸,600567.SH,山鹰国际,20011218,,Y,0.19048,-0.02235,-0.18605
801140.SI,轻工制造,801143.SI,造纸,851412.SI,大宗用纸,600963.SH,岳阳林纸,20040525,,Y,0.63689,0.21888,-0.0719
801140.SI,轻工制造,801143.SI,造纸,851412.SI,大宗用纸,600966.SH,博汇纸业,20040604,,Y,0.04027,-0.14048,-0.2723
801140.SI,轻工制造,801143.SI,造纸,851413.SI,特种纸,600433.SH,冠豪高新,20030617,,Y,0.16187,0.09122,-0.0745
801140.SI,轻工制造,801143.SI,造纸,851412.SI,大宗用纸,002078.SZ,太阳纸业,20061026,,Y,0.04105,-0.12784,0.12941
801140.SI,轻工制造,801143.SI,造纸,851412.SI,大宗用纸,603863.SH,松炀资源,20190520,,Y,0.10049,-0.24031,-0.13295
801140.SI,轻工制造,801143.SI,造纸,851413.SI,特种纸,605007.SH,五洲特纸,20201026,,Y,0.145,-0.05697,-0.02276
801140.SI,轻工制造,801143.SI,造纸,851413.SI,特种纸,603733.SH,仙鹤股份,20180403,,Y,0.10793,0.04735,0.08974
801140.SI,轻工制造,801143.SI,造纸,851413.SI,特种纸,605377.SH,华旺科技,20201214,,Y,0.10619,-0.06831,-0.06436
