l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801170.SI,交通运输,801179.SI,铁路公路,851721.SI,公交,600611.SH,大众交通,19920807,,Y,-0.08927,2.03901,1.86622
801170.SI,交通运输,801179.SI,铁路公路,851771.SI,铁路运输,600125.SH,铁龙物流,19980511,,Y,-0.02117,0.03087,0.01864
801170.SI,交通运输,801179.SI,铁路公路,851721.SI,公交,603069.SH,海汽集团,20160624,,Y,0.11452,0.14226,0.18004
801170.SI,交通运输,801179.SI,铁路公路,851721.SI,公交,600650.SH,锦江在线,20040401,,Y,0.23713,0.77807,0.44421
801170.SI,交通运输,801179.SI,铁路公路,851771.SI,铁路运输,601816.SH,京沪高铁,20200106,,Y,-0.01406,0.10433,0.16149
801170.SI,交通运输,801179.SI,铁路公路,851771.SI,铁路运输,601333.SH,广深铁路,20061220,,Y,-0.01734,0.08626,0.26866
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,600020.SH,中原高速,20030801,,Y,0.06366,0.11389,0.19701
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,601107.SH,四川成渝,20090106,,Y,0.13531,-0.02717,0.35949
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,600035.SH,楚天高速,20040308,,Y,-0.05977,-0.04215,0.12363
801170.SI,交通运输,801179.SI,铁路公路,851771.SI,铁路运输,000557.SZ,西部创业,19940617,,Y,0.19715,0.14545,0.16667
801170.SI,交通运输,801179.SI,铁路公路,851771.SI,铁路运输,001213.SZ,中铁特货,20210820,,Y,0.05211,0.01435,0.01193
801170.SI,交通运输,801179.SI,铁路公路,851771.SI,铁路运输,601006.SH,大秦铁路,20060801,,Y,-0.03235,-0.04776,-0.03235
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,000900.SZ,现代投资,19990128,,Y,0.04675,0.07467,0.03333
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,600377.SH,宁沪高速,20010116,,Y,-0.02024,0.17854,0.307
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,600106.SH,重庆路桥,19970618,,Y,0.61929,0.12522,0.23166
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,000429.SZ,粤高速A,19980220,,Y,0.0786,0.1587,0.42553
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,600033.SH,福建高速,20010209,,Y,-0.04408,0.08438,0.09464
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,000828.SZ,东莞控股,19970617,,Y,0.0931,0.06851,0.23231
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,600269.SH,赣粤高速,20000420,,Y,0.00606,0.09934,0.23267
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,600350.SH,山东高速,20020318,,Y,0.00686,0.0,0.29412
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,001965.SZ,招商公路,20171221,,Y,-0.01797,0.09472,0.29526
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,000755.SZ,山西高速,20181119,,Y,0.13527,0.01512,0.02174
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,600548.SH,深高速,20011225,,Y,-0.05655,0.01316,0.05258
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,600368.SH,五洲交通,20001221,,Y,-0.03618,0.14067,0.3227
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,601518.SH,吉林高速,20100118,,Y,0.04724,0.07258,0.05976
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,600012.SH,皖通高速,20030107,,Y,-0.03378,0.04993,0.36581
