l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801120.SI,食品饮料,801124.SI,食品加工,851241.SI,肉制品,000895.SZ,双汇发展,19981210,,Y,0.06505,-0.06438,-0.00486
801120.SI,食品饮料,801124.SI,食品加工,851241.SI,肉制品,002515.SZ,金字火腿,20101122,,Y,0.03812,0.02889,-0.08498
801120.SI,食品饮料,801124.SI,食品加工,851241.SI,肉制品,002840.SZ,华统股份,20161219,,Y,-0.1534,-0.45459,-0.19737
801120.SI,食品饮料,801124.SI,食品加工,851241.SI,肉制品,002726.SZ,龙大美食,20140120,,Y,-0.04729,-0.01297,-0.07307
801120.SI,食品饮料,801124.SI,食品加工,851241.SI,肉制品,600073.SH,光明肉业,20190724,,Y,0.13823,0.09524,-0.0389
801120.SI,食品饮料,801124.SI,食品加工,851246.SI,预加工食品,002216.SZ,三全食品,20210730,,Y,-0.0053,-0.02931,-0.15402
801120.SI,食品饮料,801124.SI,食品加工,851247.SI,保健品,300791.SZ,仙乐健康,20210730,,Y,0.09061,-0.05136,0.4278
801120.SI,食品饮料,801124.SI,食品加工,851247.SI,保健品,300146.SZ,汤臣倍健,20210730,,Y,0.11877,-0.1393,-0.21822
801120.SI,食品饮料,801124.SI,食品加工,851247.SI,保健品,002626.SZ,金达威,20210730,,Y,0.05942,0.21891,-0.06159
801120.SI,食品饮料,801124.SI,食品加工,851246.SI,预加工食品,603345.SH,安井食品,20210730,,Y,0.08013,0.08883,-0.21485
