l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801120.SI,食品饮料,801127.SI,饮料乳品,851271.SI,软饮料,000848.SZ,承德露露,19971113,,Y,0.02549,-0.03318,0.06156
801120.SI,食品饮料,801127.SI,饮料乳品,851271.SI,软饮料,603711.SH,香飘飘,20171121,,Y,0.20882,-0.15277,-0.03902
801120.SI,食品饮料,801127.SI,饮料乳品,851271.SI,软饮料,603156.SH,养元饮品,20180129,,Y,0.02763,-0.09749,-0.02228
801120.SI,食品饮料,801127.SI,饮料乳品,851271.SI,软饮料,605499.SH,东鹏饮料,20210512,,Y,0.22416,0.47688,0.58893
801120.SI,食品饮料,801127.SI,饮料乳品,851243.SI,乳品,600882.SH,妙可蓝多,20110110,,Y,0.13117,0.26698,-0.05979
801120.SI,食品饮料,801127.SI,饮料乳品,851271.SI,软饮料,600189.SH,泉阳泉,20190724,,Y,0.20433,0.11669,-0.02305
801120.SI,食品饮料,801127.SI,饮料乳品,851243.SI,乳品,002946.SZ,新乳业,20190124,,Y,0.32028,0.18144,-0.1826
801120.SI,食品饮料,801127.SI,饮料乳品,851243.SI,乳品,600429.SH,三元股份,20030915,,Y,0.08354,0.00943,-0.09705
801120.SI,食品饮料,801127.SI,饮料乳品,851243.SI,乳品,600597.SH,光明乳业,20020828,,Y,0.02754,-0.05193,-0.1236
801120.SI,食品饮料,801127.SI,饮料乳品,851243.SI,乳品,600887.SH,伊利股份,19960312,,Y,0.09389,-0.00596,0.05205
