l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,600693.SH,东百集团,19931122,,Y
801200.SI,商贸零售,801203.SI,一般零售,852033.SI,多业态零售,600694.SH,大商股份,19931122,,Y
801200.SI,商贸零售,801203.SI,一般零售,852033.SI,多业态零售,600697.SH,欧亚集团,19931206,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,000564.SZ,供销大集,19940110,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,600814.SH,杭州解百,19940114,,Y
801200.SI,商贸零售,801203.SI,一般零售,852033.SI,多业态零售,600827.SH,百联股份,19940204,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,600828.SH,茂业商业,19940224,,Y
801200.SI,商贸零售,801203.SI,一般零售,852033.SI,多业态零售,600838.SH,上海九百,19940224,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,600859.SH,王府井,19940506,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,600865.SH,百大集团,19940809,,Y
801200.SI,商贸零售,801203.SI,一般零售,852033.SI,多业态零售,000419.SZ,通程控股,19960816,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,600712.SH,南宁百货,19960626,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,600738.SH,丽尚国潮,19960802,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,600628.SH,新世界,19930119,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,600280.SH,中央商场,20000926,,Y
801200.SI,商贸零售,801203.SI,一般零售,852033.SI,多业态零售,600778.SH,友好集团,19961203,,Y
801200.SI,商贸零售,801203.SI,一般零售,852033.SI,多业态零售,600729.SH,重庆百货,19960702,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,000715.SZ,中兴商业,19970508,,Y
801200.SI,商贸零售,801203.SI,一般零售,852032.SI,超市,000759.SZ,中百集团,19970519,,Y
801200.SI,商贸零售,801203.SI,一般零售,852033.SI,多业态零售,600785.SH,新华百货,19970108,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,000882.SZ,华联股份,19980616,,Y
801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营,600415.SH,小商品城,20020509,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,002187.SZ,广百股份,20071120,,Y
801200.SI,商贸零售,801203.SI,一般零售,852032.SI,超市,601116.SH,三江购物,20110218,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,002277.SZ,友阿股份,20090630,,Y
801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营,002344.SZ,海宁皮城,20100106,,Y
801200.SI,商贸零售,801203.SI,一般零售,852032.SI,超市,601933.SH,永辉超市,20101207,,Y
