l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801210.SI,社会服务,801218.SI,专业服务,852182.SI,检测服务,300416.SZ,苏试试验,20220729,,Y
801210.SI,社会服务,801218.SI,专业服务,852182.SI,检测服务,301289.SZ,国缆检测,20220610,,Y
801210.SI,社会服务,801218.SI,专业服务,852182.SI,检测服务,300215.SZ,电科院,20110503,,Y
801210.SI,社会服务,801218.SI,专业服务,852181.SI,人力资源服务,300662.SZ,科锐国际,20170522,,Y
801210.SI,社会服务,801218.SI,专业服务,852183.SI,会展服务,300860.SZ,锋尚文化,20200731,,Y
801210.SI,社会服务,801218.SI,专业服务,852182.SI,检测服务,301115.SZ,建科股份,20220812,,Y
801210.SI,社会服务,801218.SI,专业服务,852182.SI,检测服务,300797.SZ,钢研纳克,20220729,,Y
801210.SI,社会服务,801218.SI,专业服务,852182.SI,检测服务,301228.SZ,实朴检测,20220114,,Y
801210.SI,社会服务,801218.SI,专业服务,852182.SI,检测服务,301508.SZ,中机认检,20231117,,Y
801210.SI,社会服务,801218.SI,专业服务,852184.SI,其他专业服务,603373.SH,安邦护卫,20231201,,Y
801210.SI,社会服务,801218.SI,专业服务,852183.SI,会展服务,300795.SZ,米奥会展,20191010,,Y
801210.SI,社会服务,801218.SI,专业服务,852182.SI,检测服务,300887.SZ,谱尼测试,20210730,,Y
801210.SI,社会服务,801218.SI,专业服务,852181.SI,人力资源服务,600662.SH,外服控股,20220729,,Y
801210.SI,社会服务,801218.SI,专业服务,852182.SI,检测服务,688334.SH,西高院,20230609,,Y
801210.SI,社会服务,801218.SI,专业服务,852182.SI,检测服务,002057.SZ,中钢天源,20230704,,Y
801210.SI,社会服务,801218.SI,专业服务,852183.SI,会展服务,600826.SH,兰生股份,20210730,,Y
801210.SI,社会服务,801218.SI,专业服务,852182.SI,检测服务,603183.SH,建研院,20210730,,Y
801210.SI,社会服务,801218.SI,专业服务,852184.SI,其他专业服务,301169.SZ,零点有数,20211022,,Y
801210.SI,社会服务,801218.SI,专业服务,852182.SI,检测服务,603060.SH,国检集团,20210730,,Y
801210.SI,社会服务,801218.SI,专业服务,852182.SI,检测服务,003008.SZ,开普检测,20210730,,Y
801210.SI,社会服务,801218.SI,专业服务,852182.SI,检测服务,300012.SZ,华测检测,20210730,,Y
801210.SI,社会服务,801218.SI,专业服务,852182.SI,检测服务,002967.SZ,广电计量,20210730,,Y
801210.SI,社会服务,801218.SI,专业服务,852184.SI,其他专业服务,300962.SZ,中金辐照,20210730,,Y
801210.SI,社会服务,801218.SI,专业服务,852182.SI,检测服务,300938.SZ,信测标准,20210730,,Y
801210.SI,社会服务,801218.SI,专业服务,852182.SI,检测服务,300572.SZ,安车检测,20210730,,Y
801210.SI,社会服务,801218.SI,专业服务,852181.SI,人力资源服务,600861.SH,北京人力,20240730,,Y
