l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801980.SI,美容护理,801981.SI,个护用品,859812.SI,洗护用品,000523.SZ,红棉股份,19931108,,Y
801980.SI,美容护理,801981.SI,个护用品,859812.SI,洗护用品,600249.SH,两面针,20040129,,Y
801980.SI,美容护理,801981.SI,个护用品,859811.SI,生活用纸,002511.SZ,中顺洁柔,20100115,,Y
801980.SI,美容护理,801981.SI,个护用品,859811.SI,生活用纸,301108.SZ,洁雅股份,20211119,,Y
801980.SI,美容护理,801981.SI,个护用品,859812.SI,洗护用品,001328.SZ,登康口腔,20230327,,Y
801980.SI,美容护理,801981.SI,个护用品,859812.SI,洗护用品,603059.SH,倍加洁,20180212,,Y
801980.SI,美容护理,801981.SI,个护用品,859811.SI,生活用纸,003006.SZ,百亚股份,20200904,,Y
801980.SI,美容护理,801981.SI,个护用品,859811.SI,生活用纸,301009.SZ,可靠股份,20210531,,Y
801980.SI,美容护理,801981.SI,个护用品,859811.SI,生活用纸,001206.SZ,依依股份,20210510,,Y
801980.SI,美容护理,801981.SI,个护用品,859811.SI,生活用纸,603238.SH,诺邦股份,20210730,,Y
801980.SI,美容护理,801981.SI,个护用品,859811.SI,生活用纸,605009.SH,豪悦护理,20200831,,Y
801980.SI,美容护理,801981.SI,个护用品,859811.SI,生活用纸,300658.SZ,延江股份,20210730,,Y
801980.SI,美容护理,801981.SI,个护用品,859811.SI,生活用纸,300888.SZ,稳健医疗,20210730,,Y
801980.SI,美容护理,801981.SI,个护用品,859812.SI,洗护用品,603193.SH,润本股份,20231013,,Y
