l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801200.SI,商贸零售,801206.SI,互联网电商,852063.SI,电商服务,300518.SZ,新迅达,20220729,,Y
801200.SI,商贸零售,801206.SI,互联网电商,852063.SI,电商服务,301110.SZ,青木科技,20210225,,Y
801200.SI,商贸零售,801206.SI,互联网电商,852062.SI,跨境电商,002315.SZ,焦点科技,20091123,,Y
801200.SI,商贸零售,801206.SI,互联网电商,852062.SI,跨境电商,300592.SZ,华凯易佰,20220708,,Y
801200.SI,商贸零售,801206.SI,互联网电商,852062.SI,跨境电商,002803.SZ,吉宏股份,20160624,,Y
801200.SI,商贸零售,801206.SI,互联网电商,852063.SI,电商服务,300792.SZ,壹网壹创,20190919,,Y
801200.SI,商贸零售,801206.SI,互联网电商,852063.SI,电商服务,003010.SZ,若羽臣,20200914,,Y
801200.SI,商贸零售,801206.SI,互联网电商,852063.SI,电商服务,301001.SZ,凯淳股份,20210521,,Y
801200.SI,商贸零售,801206.SI,互联网电商,852063.SI,电商服务,605136.SH,丽人丽妆,20200914,,Y
801200.SI,商贸零售,801206.SI,互联网电商,852062.SI,跨境电商,300464.SZ,星徽股份,20190724,,Y
801200.SI,商贸零售,801206.SI,互联网电商,852062.SI,跨境电商,601113.SH,华鼎股份,20210730,,Y
801200.SI,商贸零售,801206.SI,互联网电商,852063.SI,电商服务,002127.SZ,南极电商,20210730,,Y
801200.SI,商贸零售,801206.SI,互联网电商,852063.SI,电商服务,600539.SH,狮头股份,20220729,,Y
801200.SI,商贸零售,801206.SI,互联网电商,852062.SI,跨境电商,301381.SZ,赛维时代,20230630,,Y
801200.SI,商贸零售,801206.SI,互联网电商,852062.SI,跨境电商,002640.SZ,跨境通,20210730,,Y
801200.SI,商贸零售,801206.SI,互联网电商,852061.SI,综合电商,603613.SH,国联股份,20190718,,Y
801200.SI,商贸零售,801206.SI,互联网电商,852062.SI,跨境电商,301558.SZ,三态股份,20230915,,Y
