l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,600601.SH,方正科技,19901219,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,600237.SH,铜峰电子,20000609,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,000636.SZ,风华高科,19961129,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,000823.SZ,超声电子,19971008,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,600183.SH,生益科技,19981028,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,600563.SH,法拉电子,20021210,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002134.SZ,天津普林,20070515,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,002199.SZ,东晶电子,20071220,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002384.SZ,东山精密,20100322,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002436.SZ,兴森科技,20110110,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002463.SZ,沪电股份,20100809,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002815.SZ,崇达技术,20161012,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,603186.SH,华正新材,20161219,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,603228.SH,景旺电子,20161219,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,002138.SZ,顺络电子,20080602,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002579.SZ,中京电子,20110426,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,300476.SZ,胜宏科技,20150115,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,603989.SH,艾华集团,20150106,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,300460.SZ,惠伦晶体,20150106,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002913.SZ,奥士康,20171121,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,603920.SH,世运电路,20170419,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,300903.SZ,科翔股份,20201026,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,301176.SZ,逸豪新材,20220909,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002916.SZ,深南电路,20171208,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,300657.SZ,弘信电子,20170504,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,301366.SZ,一博科技,20220909,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002938.SZ,鹏鼎控股,20180918,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,300739.SZ,明阳电路,20180129,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,688655.SH,迅捷兴,20210421,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,300964.SZ,本川智能,20210727,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,300814.SZ,中富电路,20210727,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,301041.SZ,金百泽,20210727,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,688183.SH,生益电子,20210205,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,300936.SZ,中英科技,20210126,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,605058.SH,澳弘电子,20200924,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,300852.SZ,四会富仕,20200629,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,688519.SH,南亚新材,20200731,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,002484.SZ,江海股份,20100927,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,603328.SH,依顿电子,20040621,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,603738.SH,泰晶科技,20160928,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,603936.SH,博敏电子,20151209,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,301566.SZ,达利凯普,20231222,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,688539.SH,高华科技,20230331,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,300975.SZ,商络电子,20220729,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,301282.SZ,金禄电子,20220805,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,300408.SZ,三环集团,20140127,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,603386.SH,骏亚科技,20170828,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,301132.SZ,满坤科技,20220725,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,688020.SH,方邦股份,20210730,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,301251.SZ,威尔高,20230821,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,002636.SZ,金安国纪,20110117,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,605258.SH,协和电子,20201123,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,300319.SZ,麦捷科技,20210730,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,001389.SZ,广合科技,20240318,,Y
