l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,000050.SZ,深天马A,19950315,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,600707.SH,彩虹股份,19960520,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,000020.SZ,深华发A,19920428,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,000536.SZ,华映科技,19931126,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,000725.SZ,京东方A,20010112,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,000727.SZ,冠捷科技,19970520,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,002106.SZ,莱宝高科,20070112,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,001308.SZ,康冠科技,20220304,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,300088.SZ,长信科技,20100125,,Y
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,002456.SZ,欧菲光,20110110,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,600703.SH,三安光电,20110110,,Y
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,002273.SZ,水晶光电,20080919,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,300120.SZ,经纬辉开,20100910,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,300128.SZ,锦富技术,20100120,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,300076.SZ,GQY视讯,20100122,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,300241.SZ,瑞丰光电,20111010,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,002587.SZ,奥拓电子,20111010,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,300232.SZ,洲明科技,20111010,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,300162.SZ,雷曼光电,20110110,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,300219.SZ,鸿利智汇,20111010,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,300102.SZ,乾照光电,20110110,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,002449.SZ,国星光电,20110110,,Y
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,688502.SH,茂莱光学,20230224,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,300296.SZ,利亚德,20120105,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,300303.SZ,聚飞光电,20120109,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,688496.SH,清越科技,20240730,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,002654.SZ,万润科技,20170629,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,002765.SZ,蓝黛科技,20150115,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,600666.SH,奥瑞德,20151102,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,603703.SH,盛洋科技,20150413,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,002745.SZ,木林森,20150115,,Y
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,300566.SZ,激智科技,20170629,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,300708.SZ,聚灿光电,20170925,,Y
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,301183.SZ,东田微,20220513,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,600651.SH,飞乐音响,20170629,,Y
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,300701.SZ,森霸传感,20170907,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,002876.SZ,三利谱,20170522,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,603679.SH,华体科技,20170605,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,603685.SH,晨丰科技,20171121,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,300545.SZ,联得装备,20160928,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,002387.SZ,维信诺,20190724,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,688181.SH,八亿时空,20191223,,Y
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,688010.SH,福光股份,20190708,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,688299.SH,长阳科技,20191021,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,000100.SZ,TCL科技,20190422,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,300808.SZ,久量股份,20191114,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,002955.SZ,鸿合科技,20190506,,Y
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,002962.SZ,五方光电,20190902,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,002952.SZ,亚世光电,20190318,,Y
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,688127.SH,蓝特光学,20200904,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,688055.SH,龙腾光电,20200731,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,300909.SZ,汇创达,20201110,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,600552.SH,凯盛科技,20180713,,Y
801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件,603297.SH,永新光学,20180831,,Y
801080.SI,电子,801084.SI,光学光电子,850832.SI,LED,300752.SZ,隆利科技,20181128,,Y
