l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857331.SI,综合电力设备商,600875.SH,东方电气,19951010,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,600405.SH,动力源,20040324,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,002364.SZ,中恒电气,20100210,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,002518.SZ,科士达,20101124,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,300153.SZ,科泰电源,20101220,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857331.SI,综合电力设备商,601727.SH,上海电气,20081111,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,002335.SZ,科华数据,20091224,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857334.SI,火电设备,300105.SZ,龙源技术,20100818,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857334.SI,火电设备,002630.SZ,华西能源,20111104,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,300693.SZ,盛弘股份,20170807,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,300491.SZ,通合科技,20151231,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,002851.SZ,麦格米特,20170224,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,300713.SZ,英可瑞,20171030,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,300820.SZ,英杰电气,20200204,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,300870.SZ,欧陆通,20200807,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,301516.SZ,中远通,20231117,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,002227.SZ,奥特迅,20220729,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857331.SI,综合电力设备商,600475.SH,华光环能,20210730,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,600482.SH,中国动力,20220729,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,688551.SH,科威尔,20210730,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857334.SI,火电设备,002534.SZ,西子洁能,20210730,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857334.SI,火电设备,002255.SZ,海陆重工,20210730,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,600212.SH,绿能慧充,20230704,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,002366.SZ,融发核电,20210730,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,301157.SZ,华塑科技,20230309,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,300593.SZ,新雷能,20161226,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,688719.SH,爱科赛博,20230908,,Y
