l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801030.SI,基础化工,801038.SI,农化制品,850331.SI,氮肥,600426.SH,华鲁恒升,20220729,,Y
801030.SI,基础化工,801038.SI,农化制品,850332.SI,磷肥及磷化工,300505.SZ,川金诺,20160315,,Y
801030.SI,基础化工,801038.SI,农化制品,850332.SI,磷肥及磷化工,002895.SZ,川恒股份,20170815,,Y
801030.SI,基础化工,801038.SI,农化制品,850332.SI,磷肥及磷化工,603077.SH,和邦生物,20220729,,Y
801030.SI,基础化工,801038.SI,农化制品,850331.SI,氮肥,600227.SH,赤天化,20220729,,Y
801030.SI,基础化工,801038.SI,农化制品,850331.SI,氮肥,000422.SZ,湖北宜化,20220729,,Y
801030.SI,基础化工,801038.SI,农化制品,850332.SI,磷肥及磷化工,600331.SH,宏达股份,20220729,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,605033.SH,美邦股份,20210827,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,001231.SZ,农心科技,20220715,,Y
801030.SI,基础化工,801038.SI,农化制品,850336.SI,钾肥,002545.SZ,东方铁塔,20220729,,Y
801030.SI,基础化工,801038.SI,农化制品,850332.SI,磷肥及磷化工,600078.SH,澄星股份,20110110,,Y
801030.SI,基础化工,801038.SI,农化制品,850332.SI,磷肥及磷化工,600141.SH,兴发集团,20110110,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,002391.SZ,长青股份,20100129,,Y
801030.SI,基础化工,801038.SI,农化制品,850381.SI,复合肥,002538.SZ,司尔特,20110110,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,002496.SZ,辉丰股份,20100127,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,300796.SZ,贝斯美,20191011,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,000553.SZ,安道麦A,19931203,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,603599.SH,广信股份,20150106,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,603086.SH,先达股份,20170504,,Y
801030.SI,基础化工,801038.SI,农化制品,850381.SI,复合肥,300387.SZ,富邦股份,20210730,,Y
801030.SI,基础化工,801038.SI,农化制品,850332.SI,磷肥及磷化工,600470.SH,六国化工,20040302,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,002215.SZ,诺普信,20080102,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,603970.SH,中农立华,20171108,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,300804.SZ,广康生化,20230609,,Y
801030.SI,基础化工,801038.SI,农化制品,850381.SI,复合肥,002999.SZ,天禾股份,20200821,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,002250.SZ,联化科技,20080128,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,603810.SH,丰山集团,20180917,,Y
801030.SI,基础化工,801038.SI,农化制品,850381.SI,复合肥,002539.SZ,云图控股,20110110,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,002513.SZ,蓝丰生化,20100122,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,603585.SH,苏利股份,20161201,,Y
801030.SI,基础化工,801038.SI,农化制品,850336.SI,钾肥,000893.SZ,亚钾国际,20190724,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,600486.SH,扬农化工,20020401,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,603360.SH,百傲化学,20170116,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,002734.SZ,利民股份,20150115,,Y
801030.SI,基础化工,801038.SI,农化制品,850381.SI,复合肥,002470.SZ,金正大,20110110,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,002749.SZ,国光股份,20150116,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,600389.SH,江山股份,20010110,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,600596.SH,新安股份,20230704,,Y
801030.SI,基础化工,801038.SI,农化制品,850331.SI,氮肥,600691.SH,阳煤化工,20130104,,Y
801030.SI,基础化工,801038.SI,农化制品,850331.SI,氮肥,000731.SZ,四川美丰,19970617,,Y
801030.SI,基础化工,801038.SI,农化制品,850381.SI,复合肥,002588.SZ,史丹利,20111010,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,300575.SZ,中旗股份,20161212,,Y
801030.SI,基础化工,801038.SI,农化制品,850381.SI,复合肥,002170.SZ,芭田股份,20110110,,Y
801030.SI,基础化工,801038.SI,农化制品,850336.SI,钾肥,000792.SZ,盐湖股份,19970904,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,603639.SH,海利尔,20161226,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,301035.SZ,润丰股份,20210712,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,600731.SH,湖南海利,19960802,,Y
801030.SI,基础化工,801038.SI,农化制品,850331.SI,氮肥,000912.SZ,泸天化,19990104,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,002942.SZ,新农股份,20181030,,Y
801030.SI,基础化工,801038.SI,农化制品,850332.SI,磷肥及磷化工,002312.SZ,川发龙蟒,20210730,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,300261.SZ,雅本化学,20170629,,Y
801030.SI,基础化工,801038.SI,农化制品,850381.SI,复合肥,000902.SZ,新洋丰,19990104,,Y
