l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801010.SI,农林牧渔,801018.SI,动物保健Ⅱ,850181.SI,动物保健Ⅲ,600201.SH,生物股份,19980115,,Y
801010.SI,农林牧渔,801018.SI,动物保健Ⅱ,850181.SI,动物保健Ⅲ,600195.SH,中牧股份,19990107,,Y
801010.SI,农林牧渔,801018.SI,动物保健Ⅱ,850181.SI,动物保健Ⅲ,300119.SZ,瑞普生物,20100906,,Y
801010.SI,农林牧渔,801018.SI,动物保健Ⅱ,850181.SI,动物保健Ⅲ,002688.SZ,金河生物,20120105,,Y
801010.SI,农林牧渔,801018.SI,动物保健Ⅱ,850181.SI,动物保健Ⅲ,603718.SH,海利生物,20150506,,Y
801010.SI,农林牧渔,801018.SI,动物保健Ⅱ,850181.SI,动物保健Ⅲ,002868.SZ,绿康生化,20170419,,Y
801010.SI,农林牧渔,801018.SI,动物保健Ⅱ,850181.SI,动物保健Ⅲ,688098.SH,申联生物,20191011,,Y
801010.SI,农林牧渔,801018.SI,动物保健Ⅱ,850181.SI,动物保健Ⅲ,300871.SZ,回盛生物,20200807,,Y
801010.SI,农林牧渔,801018.SI,动物保健Ⅱ,850181.SI,动物保健Ⅲ,688526.SH,科前生物,20200909,,Y
801010.SI,农林牧渔,801018.SI,动物保健Ⅱ,850181.SI,动物保健Ⅲ,603566.SH,普莱柯,20150126,,Y
