l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801140.SI,轻工制造,801141.SI,包装印刷,851424.SI,塑料包装,000659.SZ,珠海中富,19961203,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装,000812.SZ,陕西金叶,19980623,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851424.SI,塑料包装,600210.SH,紫江企业,19990824,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851424.SI,塑料包装,002014.SZ,永新股份,20040707,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851422.SI,印刷,002117.SZ,东港股份,20070301,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装,002191.SZ,劲嘉股份,20071204,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851422.SI,印刷,002599.SZ,盛通股份,20110106,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装,002228.SZ,合兴包装,20080102,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851422.SI,印刷,002229.SZ,鸿博股份,20080102,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装,002303.SZ,美盈森,20090112,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装,601515.SH,东峰集团,20120106,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851422.SI,印刷,000695.SZ,滨海能源,20190724,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851423.SI,金属包装,002752.SZ,昇兴股份,20150113,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851426.SI,综合包装,603022.SH,新通联,20150106,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装,002799.SZ,环球印务,20160525,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装,002831.SZ,裕同科技,20161201,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851426.SI,综合包装,300501.SZ,海顺新材,20160204,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851423.SI,金属包装,601968.SH,宝钢包装,20150115,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851423.SI,金属包装,002787.SZ,华源控股,20151231,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851426.SI,综合包装,603607.SH,京华激光,20171010,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装,603499.SH,翔港科技,20170925,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装,603687.SH,大胜达,20190618,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装,301296.SZ,新巨丰,20220819,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851424.SI,塑料包装,003018.SZ,金富科技,20201026,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851423.SI,金属包装,002969.SZ,嘉美包装,20191114,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851426.SI,综合包装,600076.SH,康欣新材,20220729,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851426.SI,综合包装,003003.SZ,天元股份,20200904,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装,002836.SZ,新宏泽,20161226,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装,002565.SZ,顺灏股份,20110110,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851424.SI,塑料包装,002735.SZ,王子新材,20140127,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装,301062.SZ,上海艾录,20210827,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装,301355.SZ,南王科技,20230526,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851423.SI,金属包装,002374.SZ,中锐股份,20210730,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851423.SI,金属包装,002846.SZ,英联股份,20170116,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851424.SI,塑料包装,301198.SZ,喜悦智行,20211119,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装,300883.SZ,龙利得,20200831,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装,603429.SH,集友股份,20170116,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851423.SI,金属包装,002701.SZ,奥瑞金,20120130,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装,603058.SH,永吉股份,20161212,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装,301223.SZ,中荣股份,20220923,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装,603091.SH,众鑫股份,20240830,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851422.SI,印刷,001279.SZ,C强邦,20240913,,Y
