l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,603010.SH,万盛股份,20220729,,Y
801030.SI,基础化工,801034.SI,化学制品,850372.SI,聚氨酯,600309.SH,万华化学,20010105,,Y
801030.SI,基础化工,801034.SI,化学制品,850135.SI,食品及饲料添加剂,301220.SZ,亚香股份,20220602,,Y
801030.SI,基础化工,801034.SI,化学制品,850382.SI,氟化工,600160.SH,巨化股份,19980626,,Y
801030.SI,基础化工,801034.SI,化学制品,850135.SI,食品及饲料添加剂,002166.SZ,莱茵生物,20220729,,Y
801030.SI,基础化工,801034.SI,化学制品,850337.SI,民爆制品,002037.SZ,保利联合,20040907,,Y
801030.SI,基础化工,801034.SI,化学制品,850337.SI,民爆制品,002096.SZ,易普力,20061220,,Y
801030.SI,基础化工,801034.SI,化学制品,850372.SI,聚氨酯,002165.SZ,红宝丽,20070822,,Y
801030.SI,基础化工,801034.SI,化学制品,850135.SI,食品及饲料添加剂,301156.SZ,美农生物,20220610,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,688357.SH,建龙微纳,20220729,,Y
801030.SI,基础化工,801034.SI,化学制品,850338.SI,纺织化学制品,600352.SH,浙江龙盛,20080102,,Y
801030.SI,基础化工,801034.SI,化学制品,850338.SI,纺织化学制品,002054.SZ,德美化工,20080102,,Y
801030.SI,基础化工,801034.SI,化学制品,850335.SI,涂料油墨,002319.SZ,乐通股份,20090123,,Y
801030.SI,基础化工,801034.SI,化学制品,850382.SI,氟化工,002326.SZ,永太科技,20091204,,Y
801030.SI,基础化工,801034.SI,化学制品,850135.SI,食品及饲料添加剂,603235.SH,天新药业,20220624,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,300174.SZ,元力股份,20110124,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,002549.SZ,凯美特气,20111010,,Y
801030.SI,基础化工,801034.SI,化学制品,850335.SI,涂料油墨,000565.SZ,渝三峡A,20110110,,Y
801030.SI,基础化工,801034.SI,化学制品,850382.SI,氟化工,002407.SZ,多氟多,20110110,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,603065.SH,宿迁联盛,20230213,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,300169.SZ,天晟新材,20110114,,Y
801030.SI,基础化工,801034.SI,化学制品,850337.SI,民爆制品,002683.SZ,广东宏大,20120130,,Y
801030.SI,基础化工,801034.SI,化学制品,850337.SI,民爆制品,002827.SZ,高争民爆,20161201,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,603822.SH,嘉澳环保,20160418,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,002802.SZ,洪汇新材,20160624,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,002809.SZ,红墙股份,20160823,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,002810.SZ,山东赫达,20160823,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,300530.SZ,领湃科技,20160804,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,301212.SZ,联盛化学,20220325,,Y
801030.SI,基础化工,801034.SI,化学制品,850337.SI,民爆制品,002226.SZ,江南化工,20080414,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,300405.SZ,科隆股份,20140124,,Y
801030.SI,基础化工,801034.SI,化学制品,850338.SI,纺织化学制品,603188.SH,亚邦股份,20140110,,Y
801030.SI,基础化工,801034.SI,化学制品,850337.SI,民爆制品,603227.SH,雪峰科技,20150106,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,600273.SH,嘉化能源,20150701,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,603916.SH,苏博特,20171108,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,300641.SZ,正丹股份,20170330,,Y
801030.SI,基础化工,801034.SI,化学制品,850338.SI,纺织化学制品,603980.SH,吉华集团,20170605,,Y
801030.SI,基础化工,801034.SI,化学制品,850335.SI,涂料油墨,603110.SH,东方材料,20170925,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,301286.SZ,侨源股份,20170419,,Y
801030.SI,基础化工,801034.SI,化学制品,850335.SI,涂料油墨,300665.SZ,飞鹿股份,20170605,,Y
801030.SI,基础化工,801034.SI,化学制品,850382.SI,氟化工,603505.SH,金石资源,20170419,,Y
801030.SI,基础化工,801034.SI,化学制品,850337.SI,民爆制品,002246.SZ,北化股份,20170629,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,603125.SH,常青科技,20230327,,Y
801030.SI,基础化工,801034.SI,化学制品,850382.SI,氟化工,002915.SZ,中欣氟材,20171121,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,300801.SZ,泰和科技,20191028,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,603725.SH,天安新材,20190724,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,603217.SH,元利科技,20190520,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,688199.SH,久日新材,20191021,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,000881.SZ,中广核技,20190724,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,002971.SZ,和远气体,20191205,,Y
801030.SI,基础化工,801034.SI,化学制品,850338.SI,纺织化学制品,300798.SZ,锦鸡股份,20191021,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,603867.SH,新化股份,20190614,,Y
