l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801030.SI,基础化工,801032.SI,化学纤维,850343.SI,粘胶,600889.SH,南京化纤,19960308,,Y
801030.SI,基础化工,801032.SI,化学纤维,850343.SI,粘胶,000420.SZ,吉林化纤,19960802,,Y
801030.SI,基础化工,801032.SI,化学纤维,850344.SI,其他化学纤维,600063.SH,皖维高新,19970528,,Y
801030.SI,基础化工,801032.SI,化学纤维,850341.SI,涤纶,000936.SZ,华西股份,19990810,,Y
801030.SI,基础化工,801032.SI,化学纤维,850345.SI,氨纶,002064.SZ,华峰化学,20080102,,Y
801030.SI,基础化工,801032.SI,化学纤维,850341.SI,涤纶,002206.SZ,海利得,20080102,,Y
801030.SI,基础化工,801032.SI,化学纤维,850341.SI,涤纶,002427.SZ,尤夫股份,20100107,,Y
801030.SI,基础化工,801032.SI,化学纤维,850341.SI,涤纶,603073.SH,彩蝶实业,20230213,,Y
801030.SI,基础化工,801032.SI,化学纤维,850344.SI,其他化学纤维,688295.SH,中复神鹰,20220318,,Y
801030.SI,基础化工,801032.SI,化学纤维,850341.SI,涤纶,603225.SH,新凤鸣,20170330,,Y
801030.SI,基础化工,801032.SI,化学纤维,850341.SI,涤纶,603332.SH,苏州龙杰,20190104,,Y
801030.SI,基础化工,801032.SI,化学纤维,850344.SI,其他化学纤维,300876.SZ,蒙泰高新,20200807,,Y
801030.SI,基础化工,801032.SI,化学纤维,850341.SI,涤纶,002998.SZ,优彩资源,20200821,,Y
801030.SI,基础化工,801032.SI,化学纤维,850341.SI,涤纶,600370.SH,三房巷,20220729,,Y
801030.SI,基础化工,801032.SI,化学纤维,850344.SI,其他化学纤维,688722.SH,同益中,20210924,,Y
801030.SI,基础化工,801032.SI,化学纤维,850346.SI,锦纶,000782.SZ,恒申新材,20210730,,Y
801030.SI,基础化工,801032.SI,化学纤维,850344.SI,其他化学纤维,300905.SZ,宝丽迪,20240730,,Y
801030.SI,基础化工,801032.SI,化学纤维,850346.SI,锦纶,605166.SH,聚合顺,20210730,,Y
801030.SI,基础化工,801032.SI,化学纤维,850341.SI,涤纶,301057.SZ,汇隆新材,20210820,,Y
801030.SI,基础化工,801032.SI,化学纤维,850344.SI,其他化学纤维,002254.SZ,泰和新材,20230704,,Y
801030.SI,基础化工,801032.SI,化学纤维,850343.SI,粘胶,000949.SZ,新乡化纤,20240730,,Y
801030.SI,基础化工,801032.SI,化学纤维,850346.SI,锦纶,600810.SH,神马股份,20210730,,Y
801030.SI,基础化工,801032.SI,化学纤维,850343.SI,粘胶,000677.SZ,恒天海龙,20210730,,Y
