l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801150.SI,医药生物,801156.SI,医疗服务,851565.SI,其他医疗服务,000504.SZ,南华生物,19921208,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,301257.SZ,普蕊斯,20220429,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,688073.SH,毕得医药,20220916,,Y
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,301267.SZ,华厦眼科,20221104,,Y
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,002044.SZ,美年健康,20050411,,Y
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,301103.SZ,何氏眼科,20220304,,Y
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,301239.SZ,普瑞眼科,20220610,,Y
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,300015.SZ,爱尔眼科,20090112,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,688238.SH,和元生物,20220304,,Y
801150.SI,医药生物,801156.SI,医疗服务,851562.SI,诊断服务,300244.SZ,迪安诊断,20110111,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,300404.SZ,博济医药,20150113,,Y
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,002219.SZ,新里程,20151102,,Y
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,000516.SZ,国际医学,20190513,,Y
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,002173.SZ,创新医疗,20180713,,Y
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,002524.SZ,光正眼科,20190724,,Y
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,600763.SH,通策医疗,20070702,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,301201.SZ,诚达药业,20211231,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,603127.SH,昭衍新药,20170815,,Y
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,301293.SZ,三博脑科,20230414,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,300683.SZ,海特生物,20240730,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,688202.SH,美迪西,20191021,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,300759.SZ,康龙化成,20190124,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,688046.SH,药康生物,20220401,,Y
801150.SI,医药生物,801156.SI,医疗服务,851565.SI,其他医疗服务,688315.SH,诺禾致源,20210325,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,688222.SH,成都先导,20200330,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,603259.SH,药明康德,20180507,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,688621.SH,阳光诺和,20210607,,Y
801150.SI,医药生物,801156.SI,医疗服务,851562.SI,诊断服务,603882.SH,金域医学,20170828,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,301230.SZ,泓博医药,20220930,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,688131.SH,皓元医药,20220729,,Y
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,300143.SZ,盈康生命,20180713,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,300149.SZ,睿智医药,20190513,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,688265.SH,南模生物,20211210,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,301096.SZ,百诚医药,20211203,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,600721.SH,百花医药,20110110,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,300363.SZ,博腾股份,20210730,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,301333.SZ,诺思格,20220725,,Y
801150.SI,医药生物,801156.SI,医疗服务,851562.SI,诊断服务,300676.SZ,华大基因,20220729,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,002821.SZ,凯莱英,20210730,,Y
801150.SI,医药生物,801156.SI,医疗服务,851562.SI,诊断服务,301060.SZ,兰卫医学,20210827,,Y
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,002622.SZ,皓宸医疗,20230704,,Y
801150.SI,医药生物,801156.SI,医疗服务,851562.SI,诊断服务,000710.SZ,贝瑞基因,20220729,,Y
801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院,002172.SZ,澳洋健康,20220729,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,300725.SZ,药石科技,20210730,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,301509.SZ,金凯生科,20230714,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,688076.SH,诺泰生物,20210510,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,603456.SH,九洲药业,20230704,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,300347.SZ,泰格医药,20120109,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,301520.SZ,万邦医药,20230908,,Y
801150.SI,医药生物,801156.SI,医疗服务,851563.SI,医疗研发外包,688710.SH,益诺思,20240816,,Y
