l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,600820.SH,隧道股份,19940128,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,600502.SH,安徽建工,20220729,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,600512.SH,腾达建设,20021226,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,601390.SH,中国中铁,20071203,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,600284.SH,浦东建设,20040311,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,600039.SH,四川路桥,20030325,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,002062.SZ,宏润建设,20060808,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,601669.SH,中国电建,20110927,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,601186.SH,中国铁建,20080226,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,002307.SZ,北新路桥,20091027,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,002628.SZ,成都路桥,20111025,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,601800.SH,中国交建,20120214,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,000498.SZ,山东路桥,20130701,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,002061.SZ,浙江交科,20180713,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,603176.SH,汇通集团,20211217,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,603843.SH,正平股份,20160804,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,601611.SH,中国核建,20160525,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,603815.SH,交建股份,20190909,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,002941.SZ,新疆交建,20181030,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,300982.SZ,苏文电能,20210406,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,601868.SH,中国能建,20210928,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,301098.SZ,金埔园林,20211029,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,600853.SH,龙建股份,20020830,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,600133.SH,东湖高新,20170629,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,002775.SZ,文科股份,20150119,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,000010.SZ,美丽生态,20150701,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,002663.SZ,普邦股份,20120306,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,300949.SZ,奥雅股份,20210219,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,603955.SH,大千生态,20170124,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,603359.SH,东珠生态,20170807,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,300197.SZ,节能铁汉,20110321,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,603316.SH,诚邦股份,20170511,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,605303.SH,园林股份,20210114,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,002717.SZ,岭南股份,20140108,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,002431.SZ,棕榈股份,20100524,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,300355.SZ,蒙草生态,20120917,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,603717.SH,天域生物,20170224,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,001267.SZ,汇绿生态,20211117,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,300649.SZ,杭州园林,20170504,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,300948.SZ,冠中生态,20210205,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,603778.SH,国晟科技,20151105,,Y
