l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801030.SI,基础化工,801036.SI,塑料,850355.SI,膜材料,600135.SH,乐凯胶片,19980122,,Y
801030.SI,基础化工,801036.SI,塑料,850354.SI,合成树脂,001255.SZ,博菲电气,20220826,,Y
801030.SI,基础化工,801036.SI,塑料,850351.SI,其他塑料制品,002108.SZ,沧州明珠,20070124,,Y
801030.SI,基础化工,801036.SI,塑料,850353.SI,改性塑料,301131.SZ,聚赛龙,20220304,,Y
801030.SI,基础化工,801036.SI,塑料,850355.SI,膜材料,301237.SZ,和顺科技,20220304,,Y
801030.SI,基础化工,801036.SI,塑料,850351.SI,其他塑料制品,300230.SZ,永利股份,20110107,,Y
801030.SI,基础化工,801036.SI,塑料,850355.SI,膜材料,002585.SZ,双星新材,20110125,,Y
801030.SI,基础化工,801036.SI,塑料,850353.SI,改性塑料,002324.SZ,普利特,20110110,,Y
801030.SI,基础化工,801036.SI,塑料,850353.SI,改性塑料,600143.SH,金发科技,20110110,,Y
801030.SI,基础化工,801036.SI,塑料,850353.SI,改性塑料,300221.SZ,银禧科技,20111010,,Y
801030.SI,基础化工,801036.SI,塑料,850351.SI,其他塑料制品,603150.SH,万朗磁塑,20220107,,Y
801030.SI,基础化工,801036.SI,塑料,850353.SI,改性塑料,002838.SZ,道恩股份,20161219,,Y
801030.SI,基础化工,801036.SI,塑料,850353.SI,改性塑料,300538.SZ,同益股份,20160823,,Y
801030.SI,基础化工,801036.SI,塑料,850354.SI,合成树脂,001333.SZ,光华股份,20221028,,Y
801030.SI,基础化工,801036.SI,塑料,850353.SI,改性塑料,002886.SZ,沃特股份,20170620,,Y
801030.SI,基础化工,801036.SI,塑料,850351.SI,其他塑料制品,603991.SH,至正股份,20170224,,Y
801030.SI,基础化工,801036.SI,塑料,850351.SI,其他塑料制品,301196.SZ,唯科科技,20211217,,Y
801030.SI,基础化工,801036.SI,塑料,850351.SI,其他塑料制品,300539.SZ,横河精密,20170629,,Y
801030.SI,基础化工,801036.SI,塑料,850351.SI,其他塑料制品,002825.SZ,纳尔股份,20161129,,Y
801030.SI,基础化工,801036.SI,塑料,850351.SI,其他塑料制品,603580.SH,艾艾精工,20170522,,Y
801030.SI,基础化工,801036.SI,塑料,850351.SI,其他塑料制品,300717.SZ,华信新材,20171106,,Y
801030.SI,基础化工,801036.SI,塑料,850351.SI,其他塑料制品,300920.SZ,润阳科技,20201214,,Y
801030.SI,基础化工,801036.SI,塑料,850351.SI,其他塑料制品,605008.SH,长鸿高科,20200807,,Y
