l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801790.SI,非银金融,801191.SI,多元金融,851924.SI,信托,000563.SZ,陕国投A,19940110,,Y
801790.SI,非银金融,801191.SI,多元金融,851924.SI,信托,600816.SH,建元信托,19940128,,Y
801790.SI,非银金融,801191.SI,多元金融,851922.SI,金融控股,600830.SH,香溢融通,19940224,,Y
801790.SI,非银金融,801191.SI,多元金融,851922.SI,金融控股,000617.SZ,中油资本,19961022,,Y
801790.SI,非银金融,801191.SI,多元金融,851922.SI,金融控股,600643.SH,爱建集团,19930426,,Y
801790.SI,非银金融,801191.SI,多元金融,851922.SI,金融控股,002423.SZ,中粮资本,20100520,,Y
801790.SI,非银金融,801191.SI,多元金融,851927.SI,资产管理,000567.SZ,海德股份,20180713,,Y
801790.SI,非银金融,801191.SI,多元金融,851926.SI,金融信息服务,002647.SZ,仁东控股,20180713,,Y
801790.SI,非银金融,801191.SI,多元金融,851923.SI,期货,603093.SH,南华期货,20190822,,Y
801790.SI,非银金融,801191.SI,多元金融,851925.SI,租赁,600901.SH,江苏金租,20180212,,Y
801790.SI,非银金融,801191.SI,多元金融,851923.SI,期货,002961.SZ,瑞达期货,20190822,,Y
801790.SI,非银金融,801191.SI,多元金融,851924.SI,信托,600517.SH,国网英大,20220729,,Y
801790.SI,非银金融,801191.SI,多元金融,851928.SI,其他多元金融,000958.SZ,电投产融,20220729,,Y
801790.SI,非银金融,801191.SI,多元金融,851925.SI,租赁,603300.SH,华铁应急,20150126,,Y
801790.SI,非银金融,801191.SI,多元金融,851927.SI,资产管理,600053.SH,九鼎投资,20180713,,Y
801790.SI,非银金融,801191.SI,多元金融,851922.SI,金融控股,600120.SH,浙江东方,20190724,,Y
801790.SI,非银金融,801191.SI,多元金融,851922.SI,金融控股,600318.SH,新力金融,20170629,,Y
801790.SI,非银金融,801191.SI,多元金融,851922.SI,金融控股,600390.SH,五矿资本,20170629,,Y
801790.SI,非银金融,801191.SI,多元金融,851922.SI,金融控股,600705.SH,中航产融,20130701,,Y
801790.SI,非银金融,801191.SI,多元金融,851922.SI,金融控股,000987.SZ,越秀资本,20210730,,Y
801790.SI,非银金融,801191.SI,多元金融,851927.SI,资产管理,000935.SZ,四川双马,20230704,,Y
801790.SI,非银金融,801191.SI,多元金融,851926.SI,金融信息服务,300773.SZ,拉卡拉,20210730,,Y
801790.SI,非银金融,801191.SI,多元金融,851927.SI,资产管理,000532.SZ,华金资本,20210730,,Y
801790.SI,非银金融,801191.SI,多元金融,851925.SI,租赁,000415.SZ,渤海租赁,19960624,,Y
801790.SI,非银金融,801191.SI,多元金融,851923.SI,期货,600927.SH,永安期货,20211112,,Y
801790.SI,非银金融,801191.SI,多元金融,851923.SI,期货,001236.SZ,弘业期货,20220701,,Y
801790.SI,非银金融,801191.SI,多元金融,851922.SI,金融控股,600061.SH,国投资本,20210730,,Y
