l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801140.SI,轻工制造,801142.SI,家居用品,851437.SI,成品家居,600337.SH,美克家居,20001127,,Y
801140.SI,轻工制造,801142.SI,家居用品,851491.SI,其他家居用品,603272.SH,联翔股份,20220429,,Y
801140.SI,轻工制造,801142.SI,家居用品,851436.SI,瓷砖地板,000910.SZ,大亚圣象,19990630,,Y
801140.SI,轻工制造,801142.SI,家居用品,851439.SI,卫浴制品,002084.SZ,海鸥住工,20061121,,Y
801140.SI,轻工制造,801142.SI,家居用品,851437.SI,成品家居,002489.SZ,浙江永强,20100111,,Y
801140.SI,轻工制造,801142.SI,家居用品,851437.SI,成品家居,603008.SH,喜临门,20120106,,Y
801140.SI,轻工制造,801142.SI,家居用品,851437.SI,成品家居,603818.SH,曲美家居,20150113,,Y
801140.SI,轻工制造,801142.SI,家居用品,851437.SI,成品家居,603600.SH,永艺股份,20150115,,Y
801140.SI,轻工制造,801142.SI,家居用品,851438.SI,定制家居,603898.SH,好莱客,20150115,,Y
801140.SI,轻工制造,801142.SI,家居用品,851491.SI,其他家居用品,603021.SH,山东华鹏,20150113,,Y
801140.SI,轻工制造,801142.SI,家居用品,851491.SI,其他家居用品,603268.SH,松发股份,20150109,,Y
801140.SI,轻工制造,801142.SI,家居用品,851437.SI,成品家居,603816.SH,顾家家居,20161012,,Y
801140.SI,轻工制造,801142.SI,家居用品,851437.SI,成品家居,603313.SH,梦百合,20161012,,Y
801140.SI,轻工制造,801142.SI,家居用品,851437.SI,成品家居,603389.SH,亚振家居,20161201,,Y
801140.SI,轻工制造,801142.SI,家居用品,851439.SI,卫浴制品,002790.SZ,瑞尔特,20160304,,Y
801140.SI,轻工制造,801142.SI,家居用品,851491.SI,其他家居用品,300640.SZ,德艺文创,20170405,,Y
801140.SI,轻工制造,801142.SI,家居用品,851438.SI,定制家居,603326.SH,我乐家居,20170511,,Y
801140.SI,轻工制造,801142.SI,家居用品,851436.SI,瓷砖地板,603226.SH,菲林格尔,20170605,,Y
801140.SI,轻工制造,801142.SI,家居用品,851438.SI,定制家居,002853.SZ,皮阿诺,20170224,,Y
801140.SI,轻工制造,801142.SI,家居用品,851438.SI,定制家居,603208.SH,江山欧派,20170119,,Y
801140.SI,轻工制造,801142.SI,家居用品,851438.SI,定制家居,603833.SH,欧派家居,20170310,,Y
801140.SI,轻工制造,801142.SI,家居用品,851438.SI,定制家居,603180.SH,金牌家居,20170504,,Y
801140.SI,轻工制造,801142.SI,家居用品,851437.SI,成品家居,603848.SH,好太太,20171121,,Y
801140.SI,轻工制造,801142.SI,家居用品,851438.SI,定制家居,603801.SH,志邦家居,20170620,,Y
801140.SI,轻工制造,801142.SI,家居用品,851437.SI,成品家居,603610.SH,麒盛科技,20191021,,Y
801140.SI,轻工制造,801142.SI,家居用品,851439.SI,卫浴制品,603992.SH,松霖科技,20190808,,Y
801140.SI,轻工制造,801142.SI,家居用品,851436.SI,瓷砖地板,603221.SH,爱丽家居,20200310,,Y
801140.SI,轻工制造,801142.SI,家居用品,851491.SI,其他家居用品,603195.SH,公牛集团,20200121,,Y
801140.SI,轻工制造,801142.SI,家居用品,851439.SI,卫浴制品,001322.SZ,箭牌家居,20220909,,Y
801140.SI,轻工制造,801142.SI,家居用品,851436.SI,瓷砖地板,003011.SZ,海象新材,20200921,,Y
801140.SI,轻工制造,801142.SI,家居用品,851438.SI,定制家居,300616.SZ,尚品宅配,20170214,,Y
801140.SI,轻工制造,801142.SI,家居用品,851491.SI,其他家居用品,300729.SZ,乐歌股份,20171121,,Y
801140.SI,轻工制造,801142.SI,家居用品,851437.SI,成品家居,603661.SH,恒林股份,20171108,,Y
801140.SI,轻工制造,801142.SI,家居用品,851438.SI,定制家居,300749.SZ,顶固集创,20180918,,Y
801140.SI,轻工制造,801142.SI,家居用品,851491.SI,其他家居用品,300993.SZ,玉马遮阳,20210510,,Y
801140.SI,轻工制造,801142.SI,家居用品,851491.SI,其他家居用品,301004.SZ,嘉益股份,20210609,,Y
801140.SI,轻工制造,801142.SI,家居用品,851491.SI,其他家居用品,001211.SZ,双枪科技,20210727,,Y
801140.SI,轻工制造,801142.SI,家居用品,851438.SI,定制家居,605268.SH,王力安防,20210205,,Y
801140.SI,轻工制造,801142.SI,家居用品,851491.SI,其他家居用品,605099.SH,共创草坪,20200914,,Y
801140.SI,轻工制造,801142.SI,家居用品,851439.SI,卫浴制品,603408.SH,建霖家居,20200713,,Y
801140.SI,轻工制造,801142.SI,家居用品,851491.SI,其他家居用品,603838.SH,四通股份,20150119,,Y
801140.SI,轻工制造,801142.SI,家居用品,851437.SI,成品家居,603709.SH,中源家居,20180208,,Y
801140.SI,轻工制造,801142.SI,家居用品,851436.SI,瓷砖地板,301356.SZ,天振股份,20221021,,Y
801140.SI,轻工制造,801142.SI,家居用品,851437.SI,成品家居,001323.SZ,慕思股份,20220805,,Y
801140.SI,轻工制造,801142.SI,家居用品,851437.SI,成品家居,301336.SZ,趣睡科技,20220805,,Y
801140.SI,轻工制造,801142.SI,家居用品,851491.SI,其他家居用品,002571.SZ,德力股份,20110131,,Y
801140.SI,轻工制造,801142.SI,家居用品,851491.SI,其他家居用品,301113.SZ,雅艺科技,20211210,,Y
801140.SI,轻工制造,801142.SI,家居用品,851491.SI,其他家居用品,601996.SH,丰林集团,20220729,,Y
801140.SI,轻工制造,801142.SI,家居用品,851438.SI,定制家居,603216.SH,梦天家居,20211126,,Y
801140.SI,轻工制造,801142.SI,家居用品,851491.SI,其他家居用品,301193.SZ,家联科技,20211126,,Y
801140.SI,轻工制造,801142.SI,家居用品,851491.SI,其他家居用品,603615.SH,茶花股份,20210730,,Y
801140.SI,轻工制造,801142.SI,家居用品,851491.SI,其他家居用品,301055.SZ,张小泉,20210820,,Y
