l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,600619.SH,海立股份,19921116,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,000404.SZ,长虹华意,19960619,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,002290.SZ,禾盛新材,20090120,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,001268.SZ,联合精密,20220617,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,300403.SZ,汉宇集团,20140124,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,300160.SZ,秀强股份,20110104,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,300342.SZ,天银机电,20120116,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,603726.SH,朗迪集团,20160418,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,002050.SZ,三花智控,20111230,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,002418.SZ,康盛股份,20110110,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,002011.SZ,盾安环境,20110110,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,603311.SH,金海高科,20150106,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,603519.SH,立霸股份,20150309,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,603578.SH,三星新材,20170214,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,603677.SH,奇精机械,20170119,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,002860.SZ,星帅尔,20170330,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,603112.SH,华翔股份,20200831,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,601956.SH,东贝集团,20201225,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,301008.SZ,宏昌科技,20210531,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,002676.SZ,顺威股份,20120116,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,603657.SH,春光科技,20180730,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,301252.SZ,同星科技,20230512,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,300217.SZ,东方电热,20111010,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,002420.SZ,毅昌科技,20210730,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,603075.SH,热威股份,20230908,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,002402.SZ,和而泰,20240730,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,003028.SZ,振邦智能,20240730,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,300279.SZ,和晶科技,20240730,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,300543.SZ,朗科智能,20240730,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,301135.SZ,瑞德智能,20240730,,Y
801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ,301280.SZ,珠城科技,20240730,,Y
