l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属,000960.SZ,锡业股份,20000221,,Y
801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属,600456.SH,宝钛股份,20000412,,Y
801050.SI,有色金属,801054.SI,小金属,850542.SI,钨,000657.SZ,中钨高新,19961205,,Y
801050.SI,有色金属,801054.SI,小金属,850541.SI,稀土,000831.SZ,中国稀土,19980911,,Y
801050.SI,有色金属,801054.SI,小金属,850542.SI,钨,600549.SH,厦门钨业,20021107,,Y
801050.SI,有色金属,801054.SI,小金属,850541.SI,稀土,600392.SH,盛和资源,20030529,,Y
801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属,002167.SZ,东方锆业,20070912,,Y
801050.SI,有色金属,801054.SI,小金属,850542.SI,钨,002378.SZ,章源钨业,20100312,,Y
801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属,002428.SZ,云南锗业,20100601,,Y
801050.SI,有色金属,801054.SI,小金属,850542.SI,钨,002842.SZ,翔鹭钨业,20161228,,Y
801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属,002149.SZ,西部材料,20190724,,Y
801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属,301026.SZ,浩通科技,20210705,,Y
801050.SI,有色金属,801054.SI,小金属,850541.SI,稀土,600111.SH,北方稀土,20080602,,Y
801050.SI,有色金属,801054.SI,小金属,850541.SI,稀土,600259.SH,广晟有色,20100601,,Y
801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属,600459.SH,贵研铂业,20070702,,Y
801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属,600281.SH,华阳新材,20210730,,Y
801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属,000962.SZ,东方钽业,20210730,,Y
801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属,002738.SZ,中矿资源,20210730,,Y
801050.SI,有色金属,801054.SI,小金属,850545.SI,钼,603993.SH,洛阳钼业,20210730,,Y
801050.SI,有色金属,801054.SI,小金属,850545.SI,钼,601958.SH,金钼股份,20210730,,Y
801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属,002978.SZ,安宁股份,20200316,,Y
801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属,002182.SZ,宝武镁业,20210730,,Y
801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属,600301.SH,华锡有色,20240730,,Y
