l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,600683.SH,京投发展,19931025,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000036.SZ,华联控股,19940617,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000042.SZ,中洲控股,19940921,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000048.SZ,京基智农,19941101,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000558.SZ,莱茵体育,19940509,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000573.SZ,粤宏远A,19940815,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,600736.SH,苏州高新,19960815,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,600743.SH,华远地产,19960909,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,600716.SH,凤凰股份,19960702,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000002.SZ,万科A,19910129,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000014.SZ,沙河股份,19911219,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000011.SZ,深物业A,19920330,,Y
801180.SI,房地产,801181.SI,房地产开发,851813.SI,产业地产,600604.SH,市北高新,19920327,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,600606.SH,绿地控股,19920327,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,600657.SH,信达地产,19921221,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000029.SZ,深深房A,19930915,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000514.SZ,渝开发,19930712,,Y
