l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801180.SI,房地产,801183.SI,房地产服务,851831.SI,物业管理,002188.SZ,中天服务,20220729,,Y
801180.SI,房地产,801183.SI,房地产服务,851831.SI,物业管理,300917.SZ,特发服务,20210730,,Y
801180.SI,房地产,801183.SI,房地产服务,851832.SI,房产租赁经纪,002377.SZ,国创高新,20210730,,Y
801180.SI,房地产,801183.SI,房地产服务,851831.SI,物业管理,000056.SZ,皇庭国际,20210730,,Y
801180.SI,房地产,801183.SI,房地产服务,851831.SI,物业管理,603506.SH,南都物业,20210730,,Y
801180.SI,房地产,801183.SI,房地产服务,851832.SI,房产租赁经纪,002285.SZ,世联行,20210730,,Y
801180.SI,房地产,801183.SI,房地产服务,851832.SI,房产租赁经纪,000560.SZ,我爱我家,20210730,,Y
801180.SI,房地产,801183.SI,房地产服务,851831.SI,物业管理,002968.SZ,新大正,20210730,,Y
801180.SI,房地产,801183.SI,房地产服务,851831.SI,物业管理,001914.SZ,招商积余,20210730,,Y
801180.SI,房地产,801183.SI,房地产服务,851833.SI,房地产综合服务,600684.SH,珠江股份,20240301,,Y
801180.SI,房地产,801183.SI,房地产服务,851832.SI,房产租赁经纪,600724.SH,宁波富达,20240730,,Y
