l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801880.SI,汽车,801881.SI,摩托车及其他,858811.SI,其他运输设备,600679.SH,上海凤凰,19931008,,Y
801880.SI,汽车,801881.SI,摩托车及其他,858811.SI,其他运输设备,600099.SH,林海股份,19970704,,Y
801880.SI,汽车,801881.SI,摩托车及其他,858811.SI,其他运输设备,002105.SZ,信隆健康,20070112,,Y
801880.SI,汽车,801881.SI,摩托车及其他,858812.SI,摩托车,601777.SH,力帆科技,20101115,,Y
801880.SI,汽车,801881.SI,摩托车及其他,858811.SI,其他运输设备,301322.SZ,绿通科技,20230224,,Y
801880.SI,汽车,801881.SI,摩托车及其他,858812.SI,摩托车,301345.SZ,涛涛车业,20230224,,Y
801880.SI,汽车,801881.SI,摩托车及其他,858811.SI,其他运输设备,300994.SZ,久祺股份,20210723,,Y
801880.SI,汽车,801881.SI,摩托车及其他,858811.SI,其他运输设备,603529.SH,爱玛科技,20210531,,Y
801880.SI,汽车,801881.SI,摩托车及其他,858811.SI,其他运输设备,689009.SH,九号公司-WD,20201029,,Y
801880.SI,汽车,801881.SI,摩托车及其他,858811.SI,其他运输设备,600818.SH,中路股份,20220729,,Y
801880.SI,汽车,801881.SI,摩托车及其他,858812.SI,摩托车,603776.SH,永安行,20210730,,Y
801880.SI,汽车,801881.SI,摩托车及其他,858812.SI,摩托车,603129.SH,春风动力,20210730,,Y
801880.SI,汽车,801881.SI,摩托车及其他,858812.SI,摩托车,603766.SH,隆鑫通用,20210730,,Y
801880.SI,汽车,801881.SI,摩托车及其他,858812.SI,摩托车,003033.SZ,征和工业,20210104,,Y
801880.SI,汽车,801881.SI,摩托车及其他,858812.SI,摩托车,000913.SZ,钱江摩托,20210730,,Y
801880.SI,汽车,801881.SI,摩托车及其他,858812.SI,摩托车,603787.SH,新日股份,20210730,,Y
