l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801210.SI,社会服务,801994.SI,教育,859853.SI,教育运营及其他,600880.SH,博瑞传播,20220729,,Y
801210.SI,社会服务,801994.SI,教育,859852.SI,培训教育,002607.SZ,中公教育,20110729,,Y
801210.SI,社会服务,801994.SI,教育,859852.SI,培训教育,300359.SZ,全通教育,20140108,,Y
801210.SI,社会服务,801994.SI,教育,859852.SI,培训教育,000526.SZ,学大教育,20170629,,Y
801210.SI,社会服务,801994.SI,教育,859852.SI,培训教育,002638.SZ,勤上股份,20180713,,Y
801210.SI,社会服务,801994.SI,教育,859851.SI,学历教育,002659.SZ,凯文教育,20180713,,Y
801210.SI,社会服务,801994.SI,教育,859852.SI,培训教育,300192.SZ,科德教育,20190724,,Y
801210.SI,社会服务,801994.SI,教育,859852.SI,培训教育,600661.SH,昂立教育,20131231,,Y
801210.SI,社会服务,801994.SI,教育,859853.SI,教育运营及其他,600636.SH,国新文化,20190724,,Y
801210.SI,社会服务,801994.SI,教育,859852.SI,培训教育,600730.SH,中国高科,20210730,,Y
801210.SI,社会服务,801994.SI,教育,859853.SI,教育运营及其他,300010.SZ,豆神教育,20220729,,Y
801210.SI,社会服务,801994.SI,教育,859852.SI,培训教育,300688.SZ,创业黑马,20210730,,Y
801210.SI,社会服务,801994.SI,教育,859852.SI,培训教育,003032.SZ,传智教育,20210104,,Y
801210.SI,社会服务,801994.SI,教育,859852.SI,培训教育,605098.SH,行动教育,20210730,,Y
801210.SI,社会服务,801994.SI,教育,859851.SI,学历教育,002093.SZ,国脉科技,20240730,,Y
