l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801760.SI,传媒,801767.SI,数字媒体,857676.SI,其他数字媒体,301313.SZ,凡拓数创,20220916,,Y
801760.SI,传媒,801767.SI,数字媒体,857674.SI,门户网站,002095.SZ,生意宝,20061214,,Y
801760.SI,传媒,801767.SI,数字媒体,857674.SI,门户网站,603000.SH,人民网,20120417,,Y
801760.SI,传媒,801767.SI,数字媒体,857674.SI,门户网站,300295.SZ,三六五网,20120305,,Y
801760.SI,传媒,801767.SI,数字媒体,857673.SI,图片媒体,000681.SZ,视觉中国,20131231,,Y
801760.SI,传媒,801767.SI,数字媒体,857674.SI,门户网站,603888.SH,新华网,20161017,,Y
801760.SI,传媒,801767.SI,数字媒体,857675.SI,文字媒体,603533.SH,掌阅科技,20170907,,Y
801760.SI,传媒,801767.SI,数字媒体,857674.SI,门户网站,300785.SZ,值得买,20190708,,Y
801760.SI,传媒,801767.SI,数字媒体,857676.SI,其他数字媒体,603466.SH,风语筑,20220114,,Y
801760.SI,传媒,801767.SI,数字媒体,857674.SI,门户网站,300987.SZ,川网传媒,20210426,,Y
801760.SI,传媒,801767.SI,数字媒体,857674.SI,门户网站,301299.SZ,卓创资讯,20220930,,Y
801760.SI,传媒,801767.SI,数字媒体,857671.SI,视频媒体,300413.SZ,芒果超媒,20150115,,Y
801760.SI,传媒,801767.SI,数字媒体,857674.SI,门户网站,600228.SH,返利科技,20210819,,Y
