l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801210.SI,社会服务,801993.SI,旅游及景区,852111.SI,人工景区,600706.SH,曲江文旅,20210730,,Y
801210.SI,社会服务,801993.SI,旅游及景区,852111.SI,人工景区,002059.SZ,云南旅游,20210730,,Y
801210.SI,社会服务,801993.SI,旅游及景区,852112.SI,自然景区,600054.SH,黄山旅游,20050701,,Y
801210.SI,社会服务,801993.SI,旅游及景区,852111.SI,人工景区,600593.SH,大连圣亚,20020711,,Y
801210.SI,社会服务,801993.SI,旅游及景区,852112.SI,自然景区,603136.SH,天目湖,20220729,,Y
801210.SI,社会服务,801993.SI,旅游及景区,852112.SI,自然景区,000978.SZ,桂林旅游,20000426,,Y
801210.SI,社会服务,801993.SI,旅游及景区,852112.SI,自然景区,603099.SH,长白山,20140207,,Y
801210.SI,社会服务,801993.SI,旅游及景区,852112.SI,自然景区,600576.SH,祥源文旅,20230704,,Y
801210.SI,社会服务,801993.SI,旅游及景区,852112.SI,自然景区,000888.SZ,峨眉山A,19971021,,Y
801210.SI,社会服务,801993.SI,旅游及景区,852111.SI,人工景区,600138.SH,中青旅,20210730,,Y
801210.SI,社会服务,801993.SI,旅游及景区,852112.SI,自然景区,000430.SZ,张家界,19960829,,Y
801210.SI,社会服务,801993.SI,旅游及景区,852112.SI,自然景区,603199.SH,九华旅游,20150309,,Y
801210.SI,社会服务,801993.SI,旅游及景区,852112.SI,自然景区,002033.SZ,丽江股份,20210730,,Y
801210.SI,社会服务,801993.SI,旅游及景区,852112.SI,自然景区,300859.SZ,西域旅游,20200722,,Y
801210.SI,社会服务,801993.SI,旅游及景区,852131.SI,旅游综合,000524.SZ,岭南控股,20180713,,Y
801210.SI,社会服务,801993.SI,旅游及景区,852131.SI,旅游综合,002707.SZ,众信旅游,20140108,,Y
801210.SI,社会服务,801993.SI,旅游及景区,852131.SI,旅游综合,000610.SZ,西安旅游,20240730,,Y
801210.SI,社会服务,801993.SI,旅游及景区,852111.SI,人工景区,300144.SZ,宋城演艺,20100129,,Y
801210.SI,社会服务,801993.SI,旅游及景区,852112.SI,自然景区,002159.SZ,三特索道,20210730,,Y
801210.SI,社会服务,801993.SI,旅游及景区,852112.SI,自然景区,600749.SH,西藏旅游,20190724,,Y
