l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,600808.SH,马钢股份,19940106,,Y
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,600782.SH,新钢股份,19961225,,Y
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,600019.SH,宝钢股份,20001212,,Y
801040.SI,钢铁,801044.SI,普钢,850441.SI,长材,600231.SH,凌钢股份,20000424,,Y
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,600282.SH,南钢股份,20000919,,Y
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,600307.SH,酒钢宏兴,20001220,,Y
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,600010.SH,包钢股份,20010222,,Y
801040.SI,钢铁,801044.SI,普钢,850443.SI,钢铁管材,000778.SZ,新兴铸管,19970606,,Y
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,000709.SZ,河钢股份,19970416,,Y
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,000898.SZ,鞍钢股份,19971225,,Y
801040.SI,钢铁,801044.SI,普钢,850441.SI,长材,000717.SZ,中南股份,19970508,,Y
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,000761.SZ,本钢板材,19980115,,Y
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,600126.SH,杭钢股份,19980311,,Y
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,000932.SZ,华菱钢铁,19990803,,Y
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,000959.SZ,首钢股份,19991216,,Y
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,600569.SH,安阳钢铁,20010801,,Y
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,600581.SH,八一钢铁,20020816,,Y
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,600022.SH,山东钢铁,20040628,,Y
801040.SI,钢铁,801044.SI,普钢,850441.SI,长材,002110.SZ,三钢闽光,20070125,,Y
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,601003.SH,柳钢股份,20070227,,Y
801040.SI,钢铁,801044.SI,普钢,850443.SI,钢铁管材,603878.SH,武进不锈,20161201,,Y
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,601005.SH,重庆钢铁,20180713,,Y
801040.SI,钢铁,801044.SI,普钢,850443.SI,钢铁管材,601686.SH,友发集团,20210730,,Y
