l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,600630.SH,龙头股份,19930209,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,600398.SH,海澜之家,20001228,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,600107.SH,美尔雅,19971106,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,600400.SH,红豆股份,20010108,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,301276.SZ,嘉曼服饰,20220826,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,002029.SZ,七匹狼,20040805,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,002193.SZ,如意集团,20240730,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,002154.SZ,报喜鸟,20070815,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851326.SI,家纺,002397.SZ,梦洁股份,20100412,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,002494.SZ,华斯股份,20101020,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,601718.SH,际华集团,20100727,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,002269.SZ,美邦服饰,20080813,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851326.SI,家纺,002293.SZ,罗莱生活,20090826,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851326.SI,家纺,002327.SZ,富安娜,20091210,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851328.SI,运动服装,300005.SZ,探路者,20091022,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851328.SI,运动服装,002486.SZ,嘉麟杰,20240730,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,002634.SZ,棒杰股份,20240730,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,002612.SZ,朗姿股份,20110110,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,601566.SH,九牧王,20110110,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,002563.SZ,森马服饰,20110110,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851325.SI,鞋帽及其他,603001.SH,奥康国际,20120118,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,002687.SZ,乔治白,20120104,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,002763.SZ,汇洁股份,20240730,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851328.SI,运动服装,002780.SZ,三夫户外,20151123,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,603808.SH,歌力思,20150113,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,002762.SZ,金发拉比,20150115,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851325.SI,鞋帽及其他,603958.SH,哈森股份,20160624,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,603196.SH,日播时尚,20170511,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,603587.SH,地素时尚,20170605,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,603839.SH,安正时尚,20170119,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851325.SI,鞋帽及其他,603665.SH,康隆达,20170224,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851325.SI,鞋帽及其他,603908.SH,牧高笛,20170224,,Y
