l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801030.SI,基础化工,801037.SI,橡胶,850363.SI,炭黑,002068.SZ,黑猫股份,20060915,,Y
801030.SI,基础化工,801037.SI,橡胶,850363.SI,炭黑,002442.SZ,龙星化工,20100610,,Y
801030.SI,基础化工,801037.SI,橡胶,850362.SI,其他橡胶制品,603033.SH,三维股份,20161201,,Y
801030.SI,基础化工,801037.SI,橡胶,850362.SI,其他橡胶制品,300587.SZ,天铁股份,20161219,,Y
801030.SI,基础化工,801037.SI,橡胶,850362.SI,其他橡胶制品,002224.SZ,三力士,20080407,,Y
801030.SI,基础化工,801037.SI,橡胶,850363.SI,炭黑,002753.SZ,永东股份,20150106,,Y
801030.SI,基础化工,801037.SI,橡胶,850362.SI,其他橡胶制品,300767.SZ,震安科技,20190318,,Y
801030.SI,基础化工,801037.SI,橡胶,850362.SI,其他橡胶制品,300731.SZ,科创新源,20190724,,Y
801030.SI,基础化工,801037.SI,橡胶,850363.SI,炭黑,605183.SH,确成股份,20201125,,Y
801030.SI,基础化工,801037.SI,橡胶,850362.SI,其他橡胶制品,301459.SZ,丰茂股份,20231201,,Y
801030.SI,基础化工,801037.SI,橡胶,850363.SI,炭黑,301300.SZ,远翔新材,20220805,,Y
801030.SI,基础化工,801037.SI,橡胶,850364.SI,橡胶助剂,300121.SZ,阳谷华泰,20210730,,Y
801030.SI,基础化工,801037.SI,橡胶,850364.SI,橡胶助剂,603650.SH,彤程新材,20210730,,Y
801030.SI,基础化工,801037.SI,橡胶,850362.SI,其他橡胶制品,300320.SZ,海达股份,20120130,,Y
801030.SI,基础化工,801037.SI,橡胶,850363.SI,炭黑,001207.SZ,联科科技,20210607,,Y
801030.SI,基础化工,801037.SI,橡胶,850362.SI,其他橡胶制品,002381.SZ,双箭股份,20100118,,Y
